Column1;Column10;RU
TALKING_STOAT_DIALOGUE_STOATSACRIFICE_REPEAT_#2_852_F;;
TALKING_CARDS_STOATINTRO_856_M;You didn't sacrifice me?;Ты мною не пожертвовал?
TALKING_CARDS_STOATINTRO_856_F;You didn't sacrifice me?;Ты мною не пожертвовала?
TALKING_CARDS_STOATINTRO_511_M;How kind.;Вот спасибо.
TALKING_CARDS_STOATINTRO_511_F;;
TALKING_CARDS_STOATINTRO_153_M;You sacrificed me.[w:0.2];Ты пожертвовал мной.[w:0.2]
TALKING_CARDS_STOATINTRO_153_F;You sacrificed me.[w:0.2];Ты пожертвовала мной.[w:0.2]
TALKING_CARDS_STOATINTRO_269_M;[t:2][shake:1]While[w:0.2] I[w:0.2] was[w:0.2][shake:1] sleeping.[w:0.5];[t:2][shake:1]Пока[w:0.2] я[w:0.2][shake:1] спал.[w:0.5]
TALKING_CARDS_STOATINTRO_269_F;;
TALKING_CARDS_STOATINTRO_140_M;[anim:sly]It was the right play.[w:0.2];[anim:sly]Правильный ход.[w:0.2]
TALKING_CARDS_STOATINTRO_140_F;;
TALKING_CARDS_STOATINTRO_279_M;I get it.[w:0.2];Я понимаю.[w:0.2]
TALKING_CARDS_STOATINTRO_279_F;;
TALKING_CARDS_STOATINTRO_193_M;[anim:]Maybe...;[anim:]Может...
TALKING_CARDS_STOATINTRO_193_F;;
TALKING_CARDS_STOATINTRO_094_M;...you'll help me?[leshy:Take your turn.][w:2];...поможешь мне?[leshy:Твой ход.][w:2]
TALKING_CARDS_STOATINTRO_094_F;;
TALKING_CARDS_STOATINTRO_448_M;Play along for now.;Пока подыгрывай ему.
TALKING_CARDS_STOATINTRO_448_F;;
TALKING_STOAT_DIALOGUE_STOATHOSTCHOSEN_157_M;What an honor.;Какая честь.
TALKING_STOAT_DIALOGUE_STOATHOSTCHOSEN_157_F;;
TALKING_STOAT_DIALOGUE_STOATHOSTCHOSEN_REPEAT_#1_518_M;Yeah?[w:0.2][anim:sly] Alright.[w:0.2][anim:];Да?[w:0.2][anim:sly] Ну ладно.[w:0.2][anim:]
TALKING_STOAT_DIALOGUE_STOATHOSTCHOSEN_REPEAT_#1_518_F;;
TALKING_STOAT_DIALOGUE_STOATHOSTCHOSEN_REPEAT_#2_290_M;Fine choice.;Хороший выбор.
TALKING_STOAT_DIALOGUE_STOATHOSTCHOSEN_REPEAT_#2_290_F;;
TALKING_STOAT_DIALOGUE_STOATHOSTCHOSEN_REPEAT_#3_756_M;Another sigil...[w:0.2];Ещё один символ...[w:0.2]
TALKING_STOAT_DIALOGUE_STOATHOSTCHOSEN_REPEAT_#3_756_F;;
TALKING_STOAT_DIALOGUE_STOATHOSTCHOSEN_REPEAT_#3_261_M;[anim:sly]Hooray...[anim:];[anim:sly]Ура...[anim:]
TALKING_STOAT_DIALOGUE_STOATHOSTCHOSEN_REPEAT_#3_261_F;;
TALKING_STOAT_DIALOGUE_STOATSELECTIONCHOICEPOSITIVE_100_M;Hey.;Эй.
TALKING_STOAT_DIALOGUE_STOATSELECTIONCHOICEPOSITIVE_100_F;;
TALKING_STOAT_DIALOGUE_STOATSELECTIONCHOICEPOSITIVE_707_M;Pick me.;Выбери меня.
TALKING_STOAT_DIALOGUE_STOATSELECTIONCHOICEPOSITIVE_707_F;;
TALKING_STOAT_DIALOGUE_STOATSELECTIONCHOICEPOSITIVE_REPEAT_#1_780_M;I'll go.;Я пойду.
TALKING_STOAT_DIALOGUE_STOATSELECTIONCHOICEPOSITIVE_REPEAT_#1_780_F;;
TALKING_STOAT_DIALOGUE_STOATSELECTIONCHOICEPOSITIVE_REPEAT_#2_822_M;It's me.;Меня.
TALKING_STOAT_DIALOGUE_STOATSELECTIONCHOICEPOSITIVE_REPEAT_#2_822_F;;
TALKING_STOAT_DIALOGUE_STOATSELECTIONCHOICEPOSITIVE_REPEAT_#3_501_M;Your choice.;Выбор за тобой.
TALKING_STOAT_DIALOGUE_STOATSELECTIONCHOICEPOSITIVE_REPEAT_#3_501_F;;
GAMEPLAY_HINTS_HINT_NOTENOUGHBONES_187_M;You are lacking the Bones for that creature.;Этой карте нужно больше костей.
GAMEPLAY_HINTS_HINT_NOTENOUGHBONES_187_F;;
GAMEPLAY_HINTS_HINT_NOTENOUGHBONES_REPEAT_#1_914_M;You'll need more Bones to play that [c:bR][v:0][c:].;[c:bR][v:0][c:] требует больше костей.
GAMEPLAY_HINTS_HINT_NOTENOUGHBONES_REPEAT_#1_914_F;;
GAMEPLAY_HINTS_HINT_NOTENOUGHBONES_REPEAT_#2_219_M;You don't have [c:bR][v:1][c:] Bones yet. Lose some creatures and you might...;У тебя нет [c:bR][v:1][c:] костей. Ты получишь их после нескольких жертв...
GAMEPLAY_HINTS_HINT_NOTENOUGHBONES_REPEAT_#2_219_F;;
GAMEPLAY_HINTS_HINT_NOTENOUGHBONES_REPEAT_#3_780_M;That creature demands more Bones.;Этому существу необходимо больше костей.
GAMEPLAY_HINTS_HINT_NOTENOUGHBONES_REPEAT_#3_780_F;;
TUTORIAL_TUTORIALBONESTOKEN_797_M;From the death of your creature you've gained a [c:bR]bone.[c:];Гибель твоей карты подарила тебе [c:bR]кость.[c:]
TUTORIAL_TUTORIALBONESTOKEN_797_F;;
TUTORIAL_TUTORIALBONESTOKEN_637_M;You will not lose this until it is spent... or the battle ends.;Ты можешь тратить свои кости... но в конце раунда они все исчезнут.
TUTORIAL_TUTORIALBONESTOKEN_637_F;;
TUTORIAL_TUTORIALBONESTOKEN_REPEAT_#1_472_M;You've gained a [c:bR]bone.[c:];Ты получил [c:bR]кость.[c:]
TUTORIAL_TUTORIALBONESTOKEN_REPEAT_#1_472_F;You've gained a [c:bR]bone.[c:];Ты получила [c:bR]кость.[c:]
TUTORIAL_TUTORIALBONESTOKEN_REPEAT_#1_268_M;It will stay there until you spend it... or the battle ends.;Кости твои, пока ты их не потратишь... или раунд не закончится.
TUTORIAL_TUTORIALBONESTOKEN_REPEAT_#1_268_F;;
TUTORIAL_TUTORIALBONESTOKEN_REPEAT_#2_975_M;That's a [c:bR]bone.[c:];Это [c:bR]кость.[c:]
TUTORIAL_TUTORIALBONESTOKEN_REPEAT_#2_975_F;;
TUTORIAL_TUTORIALBONESTOKEN_REPEAT_#3_546_M;Yes... That's a [c:bR]bone.[c:];Да... это [c:bR]кость.[c:]
TUTORIAL_TUTORIALBONESTOKEN_REPEAT_#3_546_F;;
TALKING_STOAT_DIALOGUE_STOATDIEBONESTUTORIAL_207_M;[t:3]While I was asleep?;[t:3]Пока я спал?
TALKING_STOAT_DIALOGUE_STOATDIEBONESTUTORIAL_207_F;;
TALKING_STOAT_DIALOGUE_STOATDIEBONESTUTORIAL_475_M;[t:3]Again?;[t:3]Опять?
TALKING_STOAT_DIALOGUE_STOATDIEBONESTUTORIAL_475_F;;
GAMEPLAY_HINTS_HINT_CONSUMABLEDURINGDRAWPHASE_551_M;Not now. Draw a card first.;Ещё рано. Сперва возьми карту.
GAMEPLAY_HINTS_HINT_CONSUMABLEDURINGDRAWPHASE_551_F;;
GAMEPLAY_HINTS_HINT_CONSUMABLEDURINGDRAWPHASE_REPEAT_#1_596_M;Slow down. You will first need to draw a card.;Не так быстро. Сначала тебе нужно взять карту.
GAMEPLAY_HINTS_HINT_CONSUMABLEDURINGDRAWPHASE_REPEAT_#1_596_F;;
GAMEPLAY_HINTS_HINT_CONSUMABLEDURINGDRAWPHASE_REPEAT_#2_747_M;One thing at a time. Draw first.;Всему своё время. Сперва возьми карту.
GAMEPLAY_HINTS_HINT_CONSUMABLEDURINGDRAWPHASE_REPEAT_#2_747_F;;
GAMEPLAY_HINTS_HINT_CONSUMABLEDURINGDRAWPHASE_REPEAT_#3_918_M;You may use that... after you have drawn your card for the turn.;Ты можешь этим воспользоваться... после того, как возьмёшь новую карту.
GAMEPLAY_HINTS_HINT_CONSUMABLEDURINGDRAWPHASE_REPEAT_#3_918_F;;
GAMEPLAY_HINTS_HINT_DRAWDURINGFIRSTTURN_758_M;You cannot draw a card on your first turn.;На первом ходу нельзя брать карту.
GAMEPLAY_HINTS_HINT_DRAWDURINGFIRSTTURN_758_F;;
GAMEPLAY_HINTS_HINT_DRAWDURINGFIRSTTURN_REPEAT_#1_769_M;No drawing on the first turn. Don't you have enough?;Рано ещё брать карту. У тебя их предостаточно.
GAMEPLAY_HINTS_HINT_DRAWDURINGFIRSTTURN_REPEAT_#1_769_F;;
GAMEPLAY_HINTS_HINT_DRAWDURINGFIRSTTURN_REPEAT_#2_759_M;You may draw next turn. For now, make do.;Можешь взять в начале следующего хода. А пока нельзя.
GAMEPLAY_HINTS_HINT_DRAWDURINGFIRSTTURN_REPEAT_#2_759_F;;
GAMEPLAY_HINTS_HINT_DRAWDURINGFIRSTTURN_REPEAT_#3_487_M;I will not allow you to draw a card on the first turn.;Я не позволю тебя взять карту на первом ходу.
GAMEPLAY_HINTS_HINT_DRAWDURINGFIRSTTURN_REPEAT_#3_487_F;;
GAMEPLAY_HINTS_HINT_DRAWDURINGFIRSTTURN_REPEAT_#4_113_M;You don't draw on the first turn. You will have to wait for that.;На первом ходу карты не берутся. Придётся подождать.
GAMEPLAY_HINTS_HINT_DRAWDURINGFIRSTTURN_REPEAT_#4_113_F;;
TUTORIAL_TUTORIALMORETHANONECARD_949_M;You know you can play more than one card per turn... right?;Ты ведь знаешь, что за один ход можно разыграть несколько карт?
TUTORIAL_TUTORIALMORETHANONECARD_949_F;;
TUTORIAL_TUTORIALMORETHANONECARD_REPEAT_#1_914_M;Was I not clear?;Я что, неясно выразился?
TUTORIAL_TUTORIALMORETHANONECARD_REPEAT_#1_914_F;;
TUTORIAL_TUTORIALMORETHANONECARD_REPEAT_#1_209_M;You can play a Squirrel and also sacrifice it in the same turn.;Ты можешь положить Белку и принести её в жертву на том же ходу.
TUTORIAL_TUTORIALMORETHANONECARD_REPEAT_#1_209_F;;
TUTORIAL_TUTORIALMORETHANONECARD_REPEAT_#2_734_M;You can play as many cards per turn as your sacrifices will allow...;Можешь играть, пока есть кем жертвовать...
TUTORIAL_TUTORIALMORETHANONECARD_REPEAT_#2_734_F;;
TUTORIAL_TUTORIALMORETHANONECARD_REPEAT_#3_314_M;Just a Squirrel? Interesting choice...;Одну только Белку? Интересное решение...
TUTORIAL_TUTORIALMORETHANONECARD_REPEAT_#3_314_F;;
_OPPONENTSKIPTURN_479_M;I'm obligated to pass.;Я вынужден спасовать.
_OPPONENTSKIPTURN_479_F;;
_OPPONENTSKIPTURN_REPEAT_#1_558_M;Pass.;Пас.
_OPPONENTSKIPTURN_REPEAT_#1_558_F;;
_OPPONENTSKIPTURN_REPEAT_#2_465_M;I'll pass.;Пропускаю ход.
_OPPONENTSKIPTURN_REPEAT_#2_465_F;;
GAMEPLAY_HINTS_HINT_PLAYDURINGDRAWPHASE_465_M;Don't get ahead of yourself. You need to draw a card first.;Не спеши. Сначала возьми карту.
GAMEPLAY_HINTS_HINT_PLAYDURINGDRAWPHASE_465_F;;
GAMEPLAY_HINTS_HINT_PLAYDURINGDRAWPHASE_REPEAT_#1_797_M;I won't allow you to play a card before you draw a new one.;Я не дам тебе играть, пока не возьмёшь новую карту.
GAMEPLAY_HINTS_HINT_PLAYDURINGDRAWPHASE_REPEAT_#1_797_F;;
GAMEPLAY_HINTS_HINT_PLAYDURINGDRAWPHASE_REPEAT_#2_235_M;Draw a card.;Возьми карту.
GAMEPLAY_HINTS_HINT_PLAYDURINGDRAWPHASE_REPEAT_#2_235_F;;
GAMEPLAY_HINTS_HINT_PLAYDURINGDRAWPHASE_REPEAT_#3_655_M;Stop. Draw a card.;Подожди. Возьми карту.
GAMEPLAY_HINTS_HINT_PLAYDURINGDRAWPHASE_REPEAT_#3_655_F;;
GAMEPLAY_HINTS_HINT_PLAYDURINGDRAWPHASE_REPEAT_#4_903_M;Your turn to draw. You can play cards after.;Ты должен взять карту. Только потом можно ходить.
GAMEPLAY_HINTS_HINT_PLAYDURINGDRAWPHASE_REPEAT_#4_903_F;Your turn to draw. You can play cards after.;Ты должна взять карту. Только потом можно ходить.
TUTORIAL_TUTORIALCONSUMABLESREMINDER_266_M;Need I remind you? Your items may help...;Мне тебе напомнить? Предметы на столе могут тебе помочь...
TUTORIAL_TUTORIALCONSUMABLESREMINDER_266_F;;
TUTORIAL_TUTORIALCONSUMABLESREMINDER_REPEAT_#1_518_M;Have you forgotten the items I gave you? Tisk, tisk.;Ты уже позабыл о вспомогательных предметах? Тц-тц-тц.
TUTORIAL_TUTORIALCONSUMABLESREMINDER_REPEAT_#1_518_F;Have you forgotten the items I gave you? Tisk, tisk.;Ты уже позабыла о вспомогательных предметах? Тц-тц-тц.
TUTORIAL_TUTORIALCONSUMABLESREMINDER_REPEAT_#2_479_M;An item could help...;Предметы тут не для красоты лежат...
TUTORIAL_TUTORIALCONSUMABLESREMINDER_REPEAT_#2_479_F;;
TUTORIAL_TUTORIALCONSUMABLESREMINDER_REPEAT_#3_373_M;You're in a tough spot, no doubt.;Спору нет, у тебя неприятности.
TUTORIAL_TUTORIALCONSUMABLESREMINDER_REPEAT_#3_373_F;;
GAMEPLAY_HINTS_HINT_CONSUMABLEOUTSIDEOFBATTLE_478_M;You can't use that right now.;Это пока нельзя использовать.
GAMEPLAY_HINTS_HINT_CONSUMABLEOUTSIDEOFBATTLE_478_F;;
GAMEPLAY_HINTS_HINT_CONSUMABLEOUTSIDEOFBATTLE_REPEAT_#1_550_M;That one's only for card dueling.;Это только для карточных дуэлей.
GAMEPLAY_HINTS_HINT_CONSUMABLEOUTSIDEOFBATTLE_REPEAT_#1_550_F;;
GAMEPLAY_HINTS_HINT_CONSUMABLEOUTSIDEOFBATTLE_REPEAT_#2_884_M;I'll let you use that... but not now.;Можешь воспользоваться этим... но не сейчас.
GAMEPLAY_HINTS_HINT_CONSUMABLEOUTSIDEOFBATTLE_REPEAT_#2_884_F;;
GAMEPLAY_HINTS_HINT_CONSUMABLEOUTSIDEOFBATTLE_REPEAT_#3_994_M;Enough. You can't use that presently.;Довольно. Сейчас не время.
GAMEPLAY_HINTS_HINT_CONSUMABLEOUTSIDEOFBATTLE_REPEAT_#3_994_F;;
GAMEPLAY_HINTS_HINT_NOTENOUGHBLOODBUTSQUIRREL_880_M;You are lacking sacrifices for that [c:bR][v:0][c:]. But you do have a [c:bR]Squirrel[c:].;У тебя не хватит жертв для этой карты. Но зато у тебя есть [c:bR]Белка[c:].
GAMEPLAY_HINTS_HINT_NOTENOUGHBLOODBUTSQUIRREL_880_F;;
GAMEPLAY_HINTS_HINT_NOTENOUGHBLOODBUTSQUIRREL_REPEAT_#1_259_M;You can't play that presently. But your [c:bR]Squirrel[c:] is free.;Этим ходить пока нельзя. Но вот [c:bR]Белка[c:] бесплатная.
GAMEPLAY_HINTS_HINT_NOTENOUGHBLOODBUTSQUIRREL_REPEAT_#1_259_F;;
GAMEPLAY_HINTS_HINT_NOTENOUGHBLOODBUTSQUIRREL_REPEAT_#2_827_M;No... But you can play your [c:bR]Squirrel[c:].;Нет... но ты можешь пойти [c:bR]Белкой[c:].
GAMEPLAY_HINTS_HINT_NOTENOUGHBLOODBUTSQUIRREL_REPEAT_#2_827_F;;
SPECIAL_NODES_EYEBALLCHOICEINTRO_267_M;Believe it or not, you're not the first to lose an eye here...;Хочешь - верь, хочешь - нет, но ты не первый, кто лишился здесь глаза...
SPECIAL_NODES_EYEBALLCHOICEINTRO_267_F;Believe it or not, you're not the first to lose an eye here...;Хочешь - верь, хочешь - нет, но ты не первая, кто лишился здесь глаза...
SPECIAL_NODES_EYEBALLCHOICEINTRO_204_M;This isn't much fun if you're half blind.;Полуслепым играть не очень весело.
SPECIAL_NODES_EYEBALLCHOICEINTRO_204_F;This isn't much fun if you're half blind.;Полуслепой играть не очень весело.
SPECIAL_NODES_EYEBALLCHOICEINTRO_660_M;Perhaps, you'd like to replace it?;Быть может, ты хочешь новый глаз?
SPECIAL_NODES_EYEBALLCHOICEINTRO_660_F;;
SPECIAL_NODES_EYEBALLCHOICEINTRO_REPEAT_#1_026_M;Would you care for a new eye?;Не желаешь заменить глаз?
SPECIAL_NODES_EYEBALLCHOICEINTRO_REPEAT_#1_026_F;;
SPECIAL_NODES_EYEBALLCHOICEINTRO_REPEAT_#2_576_M;I imagine you'd like to replace that eye you lost.;Полагаю, ты хочешь заменить свой утраченный глаз.
SPECIAL_NODES_EYEBALLCHOICEINTRO_REPEAT_#2_576_F;;
SPECIAL_NODES_EYEBALLCHOICEOUTRO_252_M;Better?;Лучше?
SPECIAL_NODES_EYEBALLCHOICEOUTRO_252_F;;
SPECIAL_NODES_EYEBALLCHOICEOUTRO_341_M;Regardless, the choice is final.;В любом случае выбор окончательный.
SPECIAL_NODES_EYEBALLCHOICEOUTRO_341_F;;
SPECIAL_NODES_EYEBALLCHOICEOUTRO_REPEAT_#1_922_M;Happy with that one?;Доволен?
SPECIAL_NODES_EYEBALLCHOICEOUTRO_REPEAT_#1_922_F;Happy with that one?;Довольна?
SPECIAL_NODES_EYEBALLCHOICEOUTRO_REPEAT_#2_487_M;The choice is final.;Выбор окончательный.
SPECIAL_NODES_EYEBALLCHOICEOUTRO_REPEAT_#2_487_F;;
TUTORIAL_TUTORIALOVERKILLDAMAGE_491_M;Did I neglect to mention overkill damage?;Я что, забыл рассказать про чрезмерный урон?
TUTORIAL_TUTORIALOVERKILLDAMAGE_491_F;;
TUTORIAL_TUTORIALOVERKILLDAMAGE_700_M;Excess damage is not wasted.;Излишний урон не уходит впустую.
TUTORIAL_TUTORIALOVERKILLDAMAGE_700_F;;
TUTORIAL_TUTORIALOVERKILLDAMAGE_360_M;It carries over to the card [c:bR]behind[c:] the mangled corpse of the victim.;Он переносится на карту [c:bR]позади[c:] изувеченного трупа.
TUTORIAL_TUTORIALOVERKILLDAMAGE_360_F;;
TUTORIAL_TUTORIALOVERKILLDAMAGE_306_M;Lucky for you.;Тебе повезло.
TUTORIAL_TUTORIALOVERKILLDAMAGE_306_F;;
TUTORIAL_TUTORIALWOODCARVERINTRO_587_M;An ancient woman emerged from behind an oak tree.;Из-за дуба вышла старушка.
TUTORIAL_TUTORIALWOODCARVERINTRO_587_F;;
TUTORIAL_TUTORIALWOODCARVERINTRO_136_M;She carefully laid out intricate wood carvings, then gestured at them brusquely.;Она аккуратно разложила свои искусные поделки и указала на них коротким жестом.
TUTORIAL_TUTORIALWOODCARVERINTRO_136_F;;
TUTORIAL_TUTORIALWOODCARVERINTRO_REPEAT_#1_741_M;The old [c:bR]woodcarver[c:] again appeared before you.;Перед тобой снова предстала дряхлая [c:bR]резчица по дереву[c:].
TUTORIAL_TUTORIALWOODCARVERINTRO_REPEAT_#1_741_F;;
TUTORIAL_TUTORIALWOODCARVERINTRO_REPEAT_#2_042_M;It was another encounter with the [c:bR]woodcarver[c:].;Ты вновь встретился с [c:bR]резчицей по дереву[c:].
TUTORIAL_TUTORIALWOODCARVERINTRO_REPEAT_#2_042_F;It was another encounter with the [c:bR]woodcarver[c:].;Ты вновь встретилась с [c:bR]резчицей по дереву[c:].
TUTORIAL_TUTORIALWOODCARVERINTRO_REPEAT_#2_247_M;Taking a head and a body of a totem may bring good fortune.;Голова и тело тотема могут принести удачу.
TUTORIAL_TUTORIALWOODCARVERINTRO_REPEAT_#2_247_F;;
TUTORIAL_TUTORIALWOODCARVERINTRO_REPEAT_#3_797_M;The [c:bR]woodcarver[c:] again offered her carvings.;[c:bR]Резчица[c:] снова преподнесла свои поделки.
TUTORIAL_TUTORIALWOODCARVERINTRO_REPEAT_#3_797_F;;
TUTORIAL_TUTORIALWOODCARVERINCOMPLETE_493_M;You accepted the [c:bR]woodcarver's[c:] offering.;Ты принял подношение [c:bR]резчицы[c:].
TUTORIAL_TUTORIALWOODCARVERINCOMPLETE_493_F;You accepted the [c:bR]woodcarver's[c:] offering.;Ты приняла подношение [c:bR]резчицы[c:].
TUTORIAL_TUTORIALWOODCARVERINCOMPLETE_267_M;It is useless without its second half...;Но без второй части тотем бесполезен...
TUTORIAL_TUTORIALWOODCARVERINCOMPLETE_267_F;;
TUTORIAL_TUTORIALWOODCARVERINCOMPLETE_436_M;But you intuited that this would not be the last encounter with [c:bR]her[c:].;Ты чувствовал, что скоро вновь с [c:bR]ней[c:] встретишься.
TUTORIAL_TUTORIALWOODCARVERINCOMPLETE_436_F;But you intuited that this would not be the last encounter with [c:bR]her[c:].;Ты чувствовала, что скоро вновь с [c:bR]ней[c:] встретишься.
TUTORIAL_TUTORIALWOODCARVERINCOMPLETE_REPEAT_#1_993_M;Without a top and bottom the totem is incomplete.;Тотему нужна как верхняя, так и нижняя часть.
TUTORIAL_TUTORIALWOODCARVERINCOMPLETE_REPEAT_#1_993_F;;
TUTORIAL_TUTORIALWOODCARVERINCOMPLETE_REPEAT_#2_532_M;Lacking a second matching piece, you bid the old [c:bR]woodcarver[c:] adieu.;За неимением второй детали ты попрощался с [c:bR]резчицей[c:].
TUTORIAL_TUTORIALWOODCARVERINCOMPLETE_REPEAT_#2_532_F;Lacking a second matching piece, you bid the old [c:bR]woodcarver[c:] adieu.;За неимением второй детали ты попрощалась с [c:bR]резчицей[c:].
TUTORIAL_TUTORIALWOODCARVERINCOMPLETE_REPEAT_#3_959_M;You left with a piece, but without a complete totem.;Ты получил деталь, но тотем ещё не собран.
TUTORIAL_TUTORIALWOODCARVERINCOMPLETE_REPEAT_#3_959_F;You left with a piece, but without a complete totem.;Ты получила деталь, но тотем ещё не собран.
TUTORIAL_TUTORIALWOODCARVERCOMPLETE_127_M;The old woman bared her teeth in satisfaction. Your first [c:bR]totem[c:] was complete.;Старуха оскалила зубы от радости. Твой первый [c:bR]тотем[c:] собран.
TUTORIAL_TUTORIALWOODCARVERCOMPLETE_127_F;;
TUTORIAL_TUTORIALWOODCARVERCOMPLETE_746_M;The [c:bR][v:0][c:] sigil will now be marked upon all your [c:bR][v:1][c:] creatures.;Все существа типа [c:bR]"[v:1]"[c:] получат символ [c:bR]"[v:0]"[c:].
TUTORIAL_TUTORIALWOODCARVERCOMPLETE_746_F;;
TUTORIAL_TUTORIALBUYPELTSINTRO_712_M;You were stopped along the way by a [c:bR]Trapper[c:] looking to liquidate his pelts.;По пути тебя остановил [c:bR]Охотник[c:], который желал продать свою пушнину.
TUTORIAL_TUTORIALBUYPELTSINTRO_712_F;;
TUTORIAL_TUTORIALBUYPELTSINTRO_481_M;There was something uncanny about his appearance, but you were quickly distracted by his wares.;Что-то в его внешности настораживало, но всё твоё внимание было обращено на товар.
TUTORIAL_TUTORIALBUYPELTSINTRO_481_F;;
TUTORIAL_TUTORIALBUYPELTSOUTRO_844_M;The man assured you of the value of the pelts.;Он заверил тебя в высоком качестве шкурок.
TUTORIAL_TUTORIALBUYPELTSOUTRO_844_F;;
TUTORIAL_TUTORIALBUYPELTSOUTRO_742_M;They appear to be useless in a fight...;На первый взгляд они кажутся бесполезными...
TUTORIAL_TUTORIALBUYPELTSOUTRO_742_F;;
TUTORIAL_TUTORIALBUYPELTSOUTRO_937_M;But he mentioned that [c:bR]The Trader[c:] further down the path would reward you for them.;Но он сказал, что [c:bR]Лавочница[c:] дальше по пути может кое-что за них предложить.
