Column1;Column10;KOR
SPECIAL_NODES_WOODCARVERINTRO_REPEAT_#2_566_M;You came upon the old [c:bR]woodcarver[c:] who fixed her intense gaze upon you.;네가 마주친 늙은 [c:bR]목각사[c:]는 너를 강렬하게도 바라봤다.
SPECIAL_NODES_WOODCARVERINTRO_REPEAT_#2_566_F;;
SPECIAL_NODES_WOODCARVERINTRO_REPEAT_#2_101_M;After an overlong moment of silence, she moved to offer her carvings.;기나긴 침묵 끝에, 그녀는 조각품을 보여주러 움직였다.
SPECIAL_NODES_WOODCARVERINTRO_REPEAT_#2_101_F;;
TALKING_STOAT_DIALOGUE_STOATSACRIFICETUTORIAL_397_M;[t:9]Huh?[t:3][w:0.2] Hey[w:0.2] stop!;[t:9]허?[t:3][w:0.2] 어이[w:0.2] 멈춰!
TALKING_STOAT_DIALOGUE_STOATSACRIFICETUTORIAL_397_F;;
TALKING_STOAT_DIALOGUE_STOATSACRIFICE_182_M;[t:0.01]Wow...[w:0.1] Seriously?;[t:0.01]와...[w:0.1] 진심이야?
TALKING_STOAT_DIALOGUE_STOATSACRIFICE_182_F;;
TALKING_STOAT_DIALOGUE_STOATSACRIFICE_REPEAT_#1_809_M;[t:0.01]Oh[w:0.2] come[w:0.2] on!;[t:0.01]아[w:0.2] 그건[w:0.2] 아니지!
TALKING_STOAT_DIALOGUE_STOATSACRIFICE_REPEAT_#1_809_F;;
TALKING_STOAT_DIALOGUE_STOATSACRIFICE_REPEAT_#2_852_M;Again...;다시...
TALKING_STOAT_DIALOGUE_STOATSACRIFICE_REPEAT_#2_852_F;;
TALKING_CARDS_STOATINTRO_856_M;You didn't sacrifice me?;날 희생하지 않은 거야?
TALKING_CARDS_STOATINTRO_856_F;;
TALKING_CARDS_STOATINTRO_511_M;How kind.;친절하기도 해라.
TALKING_CARDS_STOATINTRO_511_F;;
TALKING_CARDS_STOATINTRO_153_M;You sacrificed me.[w:0.2];나를 희생했구나.[w:0.2]
TALKING_CARDS_STOATINTRO_153_F;;
TALKING_CARDS_STOATINTRO_269_M;[t:2][shake:1]While[w:0.2] I[w:0.2] was[w:0.2][shake:1] sleeping.[w:0.5];[t:2][shake:1]내가[w:0.2] 자는[w:0.2] 도중에[w:0.2][shake:1] 말이야.[w:0.5]
TALKING_CARDS_STOATINTRO_269_F;;
TALKING_CARDS_STOATINTRO_140_M;[anim:sly]It was the right play.[w:0.2];[anim:sly]올바른 수였어.[w:0.2]
TALKING_CARDS_STOATINTRO_140_F;;
TALKING_CARDS_STOATINTRO_279_M;I get it.[w:0.2];알겠어.[w:0.2]
TALKING_CARDS_STOATINTRO_279_F;;
TALKING_CARDS_STOATINTRO_193_M;[anim:]Maybe...;[anim:]혹시...
TALKING_CARDS_STOATINTRO_193_F;;
TALKING_CARDS_STOATINTRO_094_M;...you'll help me?[leshy:Take your turn.][w:2];...날 도와줄 거야?[leshy:Take your turn.][w:2]
TALKING_CARDS_STOATINTRO_094_F;;
TALKING_CARDS_STOATINTRO_448_M;Play along for now.;일단은 장단 맞춰 줘.
TALKING_CARDS_STOATINTRO_448_F;;
TALKING_STOAT_DIALOGUE_STOATHOSTCHOSEN_157_M;What an honor.;참 영광이구만.
TALKING_STOAT_DIALOGUE_STOATHOSTCHOSEN_157_F;;
TALKING_STOAT_DIALOGUE_STOATHOSTCHOSEN_REPEAT_#1_518_M;Yeah?[w:0.2][anim:sly] Alright.[w:0.2][anim:];그래?[w:0.2][anim:sly] 좋았어.[w:0.2][anim:]
TALKING_STOAT_DIALOGUE_STOATHOSTCHOSEN_REPEAT_#1_518_F;;
TALKING_STOAT_DIALOGUE_STOATHOSTCHOSEN_REPEAT_#2_290_M;Fine choice.;괜찮은 선택이야.
TALKING_STOAT_DIALOGUE_STOATHOSTCHOSEN_REPEAT_#2_290_F;;
TALKING_STOAT_DIALOGUE_STOATHOSTCHOSEN_REPEAT_#3_756_M;Another sigil...[w:0.2];또 다른 도장...[w:0.2]
TALKING_STOAT_DIALOGUE_STOATHOSTCHOSEN_REPEAT_#3_756_F;;
TALKING_STOAT_DIALOGUE_STOATHOSTCHOSEN_REPEAT_#3_261_M;[anim:sly]Hooray...[anim:];[anim:sly]만세...[anim:]
TALKING_STOAT_DIALOGUE_STOATHOSTCHOSEN_REPEAT_#3_261_F;;
TALKING_STOAT_DIALOGUE_STOATSELECTIONCHOICEPOSITIVE_100_M;Hey.;이봐.
TALKING_STOAT_DIALOGUE_STOATSELECTIONCHOICEPOSITIVE_100_F;;
TALKING_STOAT_DIALOGUE_STOATSELECTIONCHOICEPOSITIVE_707_M;Pick me.;나를 뽑아.
TALKING_STOAT_DIALOGUE_STOATSELECTIONCHOICEPOSITIVE_707_F;;
TALKING_STOAT_DIALOGUE_STOATSELECTIONCHOICEPOSITIVE_REPEAT_#1_780_M;I'll go.;내가 가지.
TALKING_STOAT_DIALOGUE_STOATSELECTIONCHOICEPOSITIVE_REPEAT_#1_780_F;;
TALKING_STOAT_DIALOGUE_STOATSELECTIONCHOICEPOSITIVE_REPEAT_#2_822_M;It's me.;나야.
TALKING_STOAT_DIALOGUE_STOATSELECTIONCHOICEPOSITIVE_REPEAT_#2_822_F;;
TALKING_STOAT_DIALOGUE_STOATSELECTIONCHOICEPOSITIVE_REPEAT_#3_501_M;Your choice.;네 선택이야.
TALKING_STOAT_DIALOGUE_STOATSELECTIONCHOICEPOSITIVE_REPEAT_#3_501_F;;
GAMEPLAY_HINTS_HINT_NOTENOUGHBONES_187_M;You are lacking the Bones for that creature.;그 피조물을 소환하기엔 뼈가 부족하다.
GAMEPLAY_HINTS_HINT_NOTENOUGHBONES_187_F;;
GAMEPLAY_HINTS_HINT_NOTENOUGHBONES_REPEAT_#1_914_M;You'll need more Bones to play that [c:bR][v:0][c:].;[c:bR][v:0][c:] 카드를 내려면 뼈가 더 필요하다.
GAMEPLAY_HINTS_HINT_NOTENOUGHBONES_REPEAT_#1_914_F;;
GAMEPLAY_HINTS_HINT_NOTENOUGHBONES_REPEAT_#2_219_M;You don't have [c:bR][v:1][c:] Bones yet. Lose some creatures and you might...;아직 [c:bR][v:1][c:]개의 뼈가 없다. 피조물 몇 개를 잃는다면...
GAMEPLAY_HINTS_HINT_NOTENOUGHBONES_REPEAT_#2_219_F;;
GAMEPLAY_HINTS_HINT_NOTENOUGHBONES_REPEAT_#3_780_M;That creature demands more Bones.;그 피조물은 더 많은 뼈를 요구한다.
GAMEPLAY_HINTS_HINT_NOTENOUGHBONES_REPEAT_#3_780_F;;
TUTORIAL_TUTORIALBONESTOKEN_797_M;From the death of your creature you've gained a [c:bR]bone.[c:];피조물의 죽음으로 너는 [c:bR]뼈[c:]를 얻었다.
TUTORIAL_TUTORIALBONESTOKEN_797_F;;
TUTORIAL_TUTORIALBONESTOKEN_637_M;You will not lose this until it is spent... or the battle ends.;뼈는 사라지지 않는다. 쓰여지거나... 전투가 끝나기 전에는.
TUTORIAL_TUTORIALBONESTOKEN_637_F;;
TUTORIAL_TUTORIALBONESTOKEN_REPEAT_#1_472_M;You've gained a [c:bR]bone.[c:];너는 [c:bR]뼈[c:]를 얻었도다.
TUTORIAL_TUTORIALBONESTOKEN_REPEAT_#1_472_F;;
TUTORIAL_TUTORIALBONESTOKEN_REPEAT_#1_268_M;It will stay there until you spend it... or the battle ends.;뼈는 거기에 둔다. 사용하거나... 전투가 끝나기 전까지.
TUTORIAL_TUTORIALBONESTOKEN_REPEAT_#1_268_F;;
TUTORIAL_TUTORIALBONESTOKEN_REPEAT_#2_975_M;That's a [c:bR]bone.[c:];그건 [c:bR]뼈[c:]다.
TUTORIAL_TUTORIALBONESTOKEN_REPEAT_#2_975_F;;
TUTORIAL_TUTORIALBONESTOKEN_REPEAT_#3_546_M;Yes... That's a [c:bR]bone.[c:];그래... 그건 [c:bR]뼈[c:]다.
TUTORIAL_TUTORIALBONESTOKEN_REPEAT_#3_546_F;;
TALKING_STOAT_DIALOGUE_STOATDIEBONESTUTORIAL_207_M;[t:3]While I was asleep?;[t:3]내가 자는 동안에?
TALKING_STOAT_DIALOGUE_STOATDIEBONESTUTORIAL_207_F;;
TALKING_STOAT_DIALOGUE_STOATDIEBONESTUTORIAL_475_M;[t:3]Again?;[t:3]또야?
TALKING_STOAT_DIALOGUE_STOATDIEBONESTUTORIAL_475_F;;
GAMEPLAY_HINTS_HINT_CONSUMABLEDURINGDRAWPHASE_551_M;Not now. Draw a card first.;지금은 아니다. 카드를 먼저 뽑거라.
GAMEPLAY_HINTS_HINT_CONSUMABLEDURINGDRAWPHASE_551_F;;
GAMEPLAY_HINTS_HINT_CONSUMABLEDURINGDRAWPHASE_REPEAT_#1_596_M;Slow down. You will first need to draw a card.;진정하라. 먼저 카드를 뽑아야 한다.
GAMEPLAY_HINTS_HINT_CONSUMABLEDURINGDRAWPHASE_REPEAT_#1_596_F;;
GAMEPLAY_HINTS_HINT_CONSUMABLEDURINGDRAWPHASE_REPEAT_#2_747_M;One thing at a time. Draw first.;한 번에 하나씩. 먼저 뽑거라.
GAMEPLAY_HINTS_HINT_CONSUMABLEDURINGDRAWPHASE_REPEAT_#2_747_F;;
GAMEPLAY_HINTS_HINT_CONSUMABLEDURINGDRAWPHASE_REPEAT_#3_918_M;You may use that... after you have drawn your card for the turn.;그건... 네 턴에 카드를 뽑고 나서 사용할 수 있다.
GAMEPLAY_HINTS_HINT_CONSUMABLEDURINGDRAWPHASE_REPEAT_#3_918_F;;
GAMEPLAY_HINTS_HINT_DRAWDURINGFIRSTTURN_758_M;You cannot draw a card on your first turn.;첫 턴에는 카드를 뽑을 수 없다.
GAMEPLAY_HINTS_HINT_DRAWDURINGFIRSTTURN_758_F;;
GAMEPLAY_HINTS_HINT_DRAWDURINGFIRSTTURN_REPEAT_#1_769_M;No drawing on the first turn. Don't you have enough?;첫 턴에선 뽑지 못한다. 충분하지 않은가?
GAMEPLAY_HINTS_HINT_DRAWDURINGFIRSTTURN_REPEAT_#1_769_F;;
GAMEPLAY_HINTS_HINT_DRAWDURINGFIRSTTURN_REPEAT_#2_759_M;You may draw next turn. For now, make do.;다음 턴에서 뽑아야 한다. 지금은 있는 카드를 쓰거라.
GAMEPLAY_HINTS_HINT_DRAWDURINGFIRSTTURN_REPEAT_#2_759_F;;
GAMEPLAY_HINTS_HINT_DRAWDURINGFIRSTTURN_REPEAT_#3_487_M;I will not allow you to draw a card on the first turn.;첫 턴에 카드를 뽑는 것은 용납하지 않겠도다.
GAMEPLAY_HINTS_HINT_DRAWDURINGFIRSTTURN_REPEAT_#3_487_F;;
GAMEPLAY_HINTS_HINT_DRAWDURINGFIRSTTURN_REPEAT_#4_113_M;You don't draw on the first turn. You will have to wait for that.;첫 턴에는 뽑지 않는다. 한 차례 기다려야 할 것이다.
GAMEPLAY_HINTS_HINT_DRAWDURINGFIRSTTURN_REPEAT_#4_113_F;;
TUTORIAL_TUTORIALMORETHANONECARD_949_M;You know you can play more than one card per turn... right?;한 턴에 카드를 여러 번 사용할 수 있는 것... 아는가?
TUTORIAL_TUTORIALMORETHANONECARD_949_F;;
TUTORIAL_TUTORIALMORETHANONECARD_REPEAT_#1_914_M;Was I not clear?;내가 말했을 터인데?
TUTORIAL_TUTORIALMORETHANONECARD_REPEAT_#1_914_F;;
TUTORIAL_TUTORIALMORETHANONECARD_REPEAT_#1_209_M;You can play a Squirrel and also sacrifice it in the same turn.;같은 턴에 다람쥐를 내고 또 희생까지 할 수 있다.
TUTORIAL_TUTORIALMORETHANONECARD_REPEAT_#1_209_F;;
TUTORIAL_TUTORIALMORETHANONECARD_REPEAT_#2_734_M;You can play as many cards per turn as your sacrifices will allow...;희생양만 충분하다면 얼마든지 카드를 내도 되고...
TUTORIAL_TUTORIALMORETHANONECARD_REPEAT_#2_734_F;;
TUTORIAL_TUTORIALMORETHANONECARD_REPEAT_#3_314_M;Just a Squirrel? Interesting choice...;고작 다람쥐? 흥미로운 선택이군...
TUTORIAL_TUTORIALMORETHANONECARD_REPEAT_#3_314_F;;
_OPPONENTSKIPTURN_479_M;I'm obligated to pass.;내 턴은 의무적으로 넘기겠다.
_OPPONENTSKIPTURN_479_F;;
_OPPONENTSKIPTURN_REPEAT_#1_558_M;Pass.;넘긴다.
_OPPONENTSKIPTURN_REPEAT_#1_558_F;;
_OPPONENTSKIPTURN_REPEAT_#2_465_M;I'll pass.;넘기도록 하지.
_OPPONENTSKIPTURN_REPEAT_#2_465_F;;
GAMEPLAY_HINTS_HINT_PLAYDURINGDRAWPHASE_465_M;Don't get ahead of yourself. You need to draw a card first.;서두르지 말거라. 먼저 카드를 뽑아야 한다.
GAMEPLAY_HINTS_HINT_PLAYDURINGDRAWPHASE_465_F;;
GAMEPLAY_HINTS_HINT_PLAYDURINGDRAWPHASE_REPEAT_#1_797_M;I won't allow you to play a card before you draw a new one.;새 카드를 뽑기 전엔 카드를 내는 건 용납하지 못한다.
GAMEPLAY_HINTS_HINT_PLAYDURINGDRAWPHASE_REPEAT_#1_797_F;;
GAMEPLAY_HINTS_HINT_PLAYDURINGDRAWPHASE_REPEAT_#2_235_M;Draw a card.;카드를 뽑거라.
GAMEPLAY_HINTS_HINT_PLAYDURINGDRAWPHASE_REPEAT_#2_235_F;;
GAMEPLAY_HINTS_HINT_PLAYDURINGDRAWPHASE_REPEAT_#3_655_M;Stop. Draw a card.;멈춰. 카드를 뽑아.
GAMEPLAY_HINTS_HINT_PLAYDURINGDRAWPHASE_REPEAT_#3_655_F;;
GAMEPLAY_HINTS_HINT_PLAYDURINGDRAWPHASE_REPEAT_#4_903_M;Your turn to draw. You can play cards after.;네가 뽑을 차례다. 내는 건 그 뒤에.
GAMEPLAY_HINTS_HINT_PLAYDURINGDRAWPHASE_REPEAT_#4_903_F;;
TUTORIAL_TUTORIALCONSUMABLESREMINDER_266_M;Need I remind you? Your items may help...;다시 말해주어야 하나? 아이템이 도움이 될지도...
TUTORIAL_TUTORIALCONSUMABLESREMINDER_266_F;;
TUTORIAL_TUTORIALCONSUMABLESREMINDER_REPEAT_#1_518_M;Have you forgotten the items I gave you? Tisk, tisk.;내가 준 아이템을 잊은 것인가? 쯧, 쯧.
TUTORIAL_TUTORIALCONSUMABLESREMINDER_REPEAT_#1_518_F;;
TUTORIAL_TUTORIALCONSUMABLESREMINDER_REPEAT_#2_479_M;An item could help...;아이템이 도움이 될지도...
TUTORIAL_TUTORIALCONSUMABLESREMINDER_REPEAT_#2_479_F;;
TUTORIAL_TUTORIALCONSUMABLESREMINDER_REPEAT_#3_373_M;You're in a tough spot, no doubt.;의심의 여지 없이 어려운 상황이군.
TUTORIAL_TUTORIALCONSUMABLESREMINDER_REPEAT_#3_373_F;;
GAMEPLAY_HINTS_HINT_CONSUMABLEOUTSIDEOFBATTLE_478_M;You can't use that right now.;그건 지금 사용할 수 없다.
GAMEPLAY_HINTS_HINT_CONSUMABLEOUTSIDEOFBATTLE_478_F;;
GAMEPLAY_HINTS_HINT_CONSUMABLEOUTSIDEOFBATTLE_REPEAT_#1_550_M;That one's only for card dueling.;그건 카드 듀얼 전용이다.
GAMEPLAY_HINTS_HINT_CONSUMABLEOUTSIDEOFBATTLE_REPEAT_#1_550_F;;
GAMEPLAY_HINTS_HINT_CONSUMABLEOUTSIDEOFBATTLE_REPEAT_#2_884_M;I'll let you use that... but not now.;그건 쓰게 해주겠지만... 지금은 아니다.
GAMEPLAY_HINTS_HINT_CONSUMABLEOUTSIDEOFBATTLE_REPEAT_#2_884_F;;
GAMEPLAY_HINTS_HINT_CONSUMABLEOUTSIDEOFBATTLE_REPEAT_#3_994_M;Enough. You can't use that presently.;그만. 그건 당장은 쓸 수 없다.
GAMEPLAY_HINTS_HINT_CONSUMABLEOUTSIDEOFBATTLE_REPEAT_#3_994_F;;
GAMEPLAY_HINTS_HINT_NOTENOUGHBLOODBUTSQUIRREL_880_M;You are lacking sacrifices for that [c:bR][v:0][c:]. But you do have a [c:bR]Squirrel[c:].;그 [c:bR][v:0][c:]에는 희생이 부족하군. 하지만 [c:bR]다람쥐[c:]는 있지 않은가.
GAMEPLAY_HINTS_HINT_NOTENOUGHBLOODBUTSQUIRREL_880_F;;
GAMEPLAY_HINTS_HINT_NOTENOUGHBLOODBUTSQUIRREL_REPEAT_#1_259_M;You can't play that presently. But your [c:bR]Squirrel[c:] is free.;그건 당장은 쓸 수 없지만, [c:bR]다람쥐[c:]는 공짜다.
GAMEPLAY_HINTS_HINT_NOTENOUGHBLOODBUTSQUIRREL_REPEAT_#1_259_F;;
GAMEPLAY_HINTS_HINT_NOTENOUGHBLOODBUTSQUIRREL_REPEAT_#2_827_M;No... But you can play your [c:bR]Squirrel[c:].;안 돼... 하지만 [c:bR]다람쥐[c:]는 낼 수 있다.
GAMEPLAY_HINTS_HINT_NOTENOUGHBLOODBUTSQUIRREL_REPEAT_#2_827_F;;
SPECIAL_NODES_EYEBALLCHOICEINTRO_267_M;Believe it or not, you're not the first to lose an eye here...;믿기 어렵겠지만, 여기서 눈을 잃은 건 네가 처음이 아니다...
SPECIAL_NODES_EYEBALLCHOICEINTRO_267_F;;
SPECIAL_NODES_EYEBALLCHOICEINTRO_204_M;This isn't much fun if you're half blind.;외눈깔에게는 재미 없는 게임이겠지.
SPECIAL_NODES_EYEBALLCHOICEINTRO_204_F;;
SPECIAL_NODES_EYEBALLCHOICEINTRO_660_M;Perhaps, you'd like to replace it?;혹시, 교체하고 싶은가?
SPECIAL_NODES_EYEBALLCHOICEINTRO_660_F;;
SPECIAL_NODES_EYEBALLCHOICEINTRO_REPEAT_#1_026_M;Would you care for a new eye?;새 눈을 갖고 싶은가?
SPECIAL_NODES_EYEBALLCHOICEINTRO_REPEAT_#1_026_F;;
SPECIAL_NODES_EYEBALLCHOICEINTRO_REPEAT_#2_576_M;I imagine you'd like to replace that eye you lost.;잃어버린 눈을 교체하고 싶겠군.
SPECIAL_NODES_EYEBALLCHOICEINTRO_REPEAT_#2_576_F;;
SPECIAL_NODES_EYEBALLCHOICEOUTRO_252_M;Better?;좀 나은가?
SPECIAL_NODES_EYEBALLCHOICEOUTRO_252_F;;
SPECIAL_NODES_EYEBALLCHOICEOUTRO_341_M;Regardless, the choice is final.;어찌 됐건, 결정은 최종적이다.
SPECIAL_NODES_EYEBALLCHOICEOUTRO_341_F;;
SPECIAL_NODES_EYEBALLCHOICEOUTRO_REPEAT_#1_922_M;Happy with that one?;그건 만족스러운가?
SPECIAL_NODES_EYEBALLCHOICEOUTRO_REPEAT_#1_922_F;;
SPECIAL_NODES_EYEBALLCHOICEOUTRO_REPEAT_#2_487_M;The choice is final.;그 결정은 최종적이다.
SPECIAL_NODES_EYEBALLCHOICEOUTRO_REPEAT_#2_487_F;;
TUTORIAL_TUTORIALOVERKILLDAMAGE_491_M;Did I neglect to mention overkill damage?;내가 과잉 피해 얘기를 잊었던가?
TUTORIAL_TUTORIALOVERKILLDAMAGE_491_F;;
TUTORIAL_TUTORIALOVERKILLDAMAGE_700_M;Excess damage is not wasted.;초과 피해는 낭비가 아니다.
TUTORIAL_TUTORIALOVERKILLDAMAGE_700_F;;
TUTORIAL_TUTORIALOVERKILLDAMAGE_360_M;It carries over to the card [c:bR]behind[c:] the mangled corpse of the victim.;피해자의 유린된 사체 [c:bR]뒤[c:]의 카드에게 전해지지.
TUTORIAL_TUTORIALOVERKILLDAMAGE_360_F;;
TUTORIAL_TUTORIALOVERKILLDAMAGE_306_M;Lucky for you.;너에겐 잘 됐지.
TUTORIAL_TUTORIALOVERKILLDAMAGE_306_F;;
TUTORIAL_TUTORIALWOODCARVERINTRO_587_M;An ancient woman emerged from behind an oak tree.;고대의 여인이 떡갈나무 뒤에서 일어섰다.
TUTORIAL_TUTORIALWOODCARVERINTRO_587_F;;
TUTORIAL_TUTORIALWOODCARVERINTRO_136_M;She carefully laid out intricate wood carvings, then gestured at them brusquely.;그녀는 조심스레 정교한 나무 조각품을 늘어놓곤 툽상스럽게 가리켰다. 
TUTORIAL_TUTORIALWOODCARVERINTRO_136_F;;
TUTORIAL_TUTORIALWOODCARVERINTRO_REPEAT_#1_741_M;The old [c:bR]woodcarver[c:] again appeared before you.;늙은 [c:bR]목각사[c:]가 다시금 너의 앞에 나타났다.
TUTORIAL_TUTORIALWOODCARVERINTRO_REPEAT_#1_741_F;;
TUTORIAL_TUTORIALWOODCARVERINTRO_REPEAT_#2_042_M;It was another encounter with the [c:bR]woodcarver[c:].;[c:bR]목각사[c:]와는 초면이 아니었다.
TUTORIAL_TUTORIALWOODCARVERINTRO_REPEAT_#2_042_F;;
TUTORIAL_TUTORIALWOODCARVERINTRO_REPEAT_#2_247_M;Taking a head and a body of a totem may bring good fortune.;토템의 몸과 머리를 가져가면 행운을 불러올지도 모른다.
TUTORIAL_TUTORIALWOODCARVERINTRO_REPEAT_#2_247_F;;
TUTORIAL_TUTORIALWOODCARVERINTRO_REPEAT_#3_797_M;The [c:bR]woodcarver[c:] again offered her carvings.;[c:bR]목각사[c:]는 다시금 조각품을 선보였다.
TUTORIAL_TUTORIALWOODCARVERINTRO_REPEAT_#3_797_F;;
TUTORIAL_TUTORIALWOODCARVERINCOMPLETE_493_M;You accepted the [c:bR]woodcarver's[c:] offering.;너는 [c:bR]목각사[c:]의 상품을 받았다.
TUTORIAL_TUTORIALWOODCARVERINCOMPLETE_493_F;;
TUTORIAL_TUTORIALWOODCARVERINCOMPLETE_267_M;It is useless without its second half...;다른 반쪽이 없으면 쓸모없지만...
TUTORIAL_TUTORIALWOODCARVERINCOMPLETE_267_F;;
TUTORIAL_TUTORIALWOODCARVERINCOMPLETE_436_M;But you intuited that this would not be the last encounter with [c:bR]her[c:].;너는 [c:bR]그녀[c:]를 만나는 게 이번이 마지막이 아니리라 직감한다.
TUTORIAL_TUTORIALWOODCARVERINCOMPLETE_436_F;;
TUTORIAL_TUTORIALWOODCARVERINCOMPLETE_REPEAT_#1_993_M;Without a top and bottom the totem is incomplete.;상단과 하단이 없이는 이 토템은 미완이다.
TUTORIAL_TUTORIALWOODCARVERINCOMPLETE_REPEAT_#1_993_F;;
TUTORIAL_TUTORIALWOODCARVERINCOMPLETE_REPEAT_#2_532_M;Lacking a second matching piece, you bid the old [c:bR]woodcarver[c:] adieu.;두 번째 조각 없이, 너는 늙은 [c:bR]목각사[c:]에게 작별을 고했다.
TUTORIAL_TUTORIALWOODCARVERINCOMPLETE_REPEAT_#2_532_F;;
TUTORIAL_TUTORIALWOODCARVERINCOMPLETE_REPEAT_#3_959_M;You left with a piece, but without a complete totem.;조각은 손에 넣었지만, 완전한 토템은 얻지 못했다.
TUTORIAL_TUTORIALWOODCARVERINCOMPLETE_REPEAT_#3_959_F;;
TUTORIAL_TUTORIALWOODCARVERCOMPLETE_127_M;The old woman bared her teeth in satisfaction. Your first [c:bR]totem[c:] was complete.;늙은 여인은 만족하여 이를 드러냈다. 너의 첫 [c:bR]토템[c:]이 완성되었다.
TUTORIAL_TUTORIALWOODCARVERCOMPLETE_127_F;;
TUTORIAL_TUTORIALWOODCARVERCOMPLETE_746_M;The [c:bR][v:0][c:] sigil will now be marked upon all your [c:bR][v:1][c:] creatures.;이제 [c:bR][v:0][c:] 도장은 너의 모든 [c:bR][v:1][c:] 피조물에 각인될 것이다.
TUTORIAL_TUTORIALWOODCARVERCOMPLETE_746_F;;
TUTORIAL_TUTORIALBUYPELTSINTRO_712_M;You were stopped along the way by a [c:bR]Trapper[c:] looking to liquidate his pelts.;가죽을 팔려는 [c:bR]덫사냥꾼[c:]이 너의 앞길을 막아섰다.
TUTORIAL_TUTORIALBUYPELTSINTRO_712_F;;
TUTORIAL_TUTORIALBUYPELTSINTRO_481_M;There was something uncanny about his appearance, but you were quickly distracted by his wares.;그의 외모는 어딘가 기이한 구석이 있지만, 너는 그의 상품에 정신이 팔려버렸다.
TUTORIAL_TUTORIALBUYPELTSINTRO_481_F;;
TUTORIAL_TUTORIALBUYPELTSOUTRO_844_M;The man assured you of the value of the pelts.;사내는 가죽의 질을 장담했다.
TUTORIAL_TUTORIALBUYPELTSOUTRO_844_F;;
TUTORIAL_TUTORIALBUYPELTSOUTRO_742_M;They appear to be useless in a fight...;싸움에선 무용지물일 것 같지만...
TUTORIAL_TUTORIALBUYPELTSOUTRO_742_F;;
TUTORIAL_TUTORIALBUYPELTSOUTRO_937_M;But he mentioned that [c:bR]The Trader[c:] further down the path would reward you for them.;그는 더 가면 나오는 [c:bR]상인[c:]이 비싼 값에 사들여줄 거라 말했다.
TUTORIAL_TUTORIALBUYPELTSOUTRO_937_F;;
