Column1;Column10;CH T
SPECIAL_NODES_WOODCARVERINTRO_REPEAT_#1_915_M;She moved with a certain vigor in spite of her considerable age.;儘管年事已高，她的舉止仍充滿活力。
SPECIAL_NODES_WOODCARVERINTRO_REPEAT_#1_915_F;;
SPECIAL_NODES_WOODCARVERINTRO_REPEAT_#2_566_M;You came upon the old [c:bR]woodcarver[c:] who fixed her intense gaze upon you.;你來到年邁的 [c:bR]木雕師[c:] 面前，她正用強烈的目光盯著你。
SPECIAL_NODES_WOODCARVERINTRO_REPEAT_#2_566_F;;
SPECIAL_NODES_WOODCARVERINTRO_REPEAT_#2_101_M;After an overlong moment of silence, she moved to offer her carvings.;在沉默許久後，她將雕刻品陳列出來。
SPECIAL_NODES_WOODCARVERINTRO_REPEAT_#2_101_F;;
TALKING_STOAT_DIALOGUE_STOATSACRIFICETUTORIAL_397_M;[t:9]Huh?[t:3][w:0.2] Hey[w:0.2] stop!;[t:9]嗯？[t:3][w:0.2] 嘿，[w:0.2] 住手！
TALKING_STOAT_DIALOGUE_STOATSACRIFICETUTORIAL_397_F;;
TALKING_STOAT_DIALOGUE_STOATSACRIFICE_182_M;[t:0.01]Wow...[w:0.1] Seriously?;[t:0.01]哇喔…[w:0.1] 不會吧？
TALKING_STOAT_DIALOGUE_STOATSACRIFICE_182_F;;
TALKING_STOAT_DIALOGUE_STOATSACRIFICE_REPEAT_#1_809_M;[t:0.01]Oh[w:0.2] come[w:0.2] on!;[t:0.01]噢[w:0.2] 拜[w:0.2] 託！
TALKING_STOAT_DIALOGUE_STOATSACRIFICE_REPEAT_#1_809_F;;
TALKING_STOAT_DIALOGUE_STOATSACRIFICE_REPEAT_#2_852_M;Again...;再次地…
TALKING_STOAT_DIALOGUE_STOATSACRIFICE_REPEAT_#2_852_F;;
TALKING_CARDS_STOATINTRO_856_M;You didn't sacrifice me?;你沒有把我犧牲掉？
TALKING_CARDS_STOATINTRO_856_F;;
TALKING_CARDS_STOATINTRO_511_M;How kind.;真是好心。
TALKING_CARDS_STOATINTRO_511_F;;
TALKING_CARDS_STOATINTRO_153_M;You sacrificed me.[w:0.2];你把我犧牲掉。[w:0.2]
TALKING_CARDS_STOATINTRO_153_F;;
TALKING_CARDS_STOATINTRO_269_M;[t:2][shake:1]While[w:0.2] I[w:0.2] was[w:0.2][shake:1] sleeping.[w:0.5];[t:2][shake:1]當[w:0.2] 我[w:0.2] 在[w:0.2][shake:1] 睡覺時。[w:0.5]
TALKING_CARDS_STOATINTRO_269_F;;
TALKING_CARDS_STOATINTRO_140_M;[anim:sly]It was the right play.[w:0.2];[anim:sly]這麼做也沒錯。[w:0.2]
TALKING_CARDS_STOATINTRO_140_F;;
TALKING_CARDS_STOATINTRO_279_M;I get it.[w:0.2];我懂了。[w:0.2]
TALKING_CARDS_STOATINTRO_279_F;;
TALKING_CARDS_STOATINTRO_193_M;[anim:]Maybe...;[anim:]或許…
TALKING_CARDS_STOATINTRO_193_F;;
TALKING_CARDS_STOATINTRO_094_M;...you'll help me?[leshy:Take your turn.][w:2];…你會幫助我？[leshy:Take your turn.][w:2]
TALKING_CARDS_STOATINTRO_094_F;;
TALKING_CARDS_STOATINTRO_448_M;Play along for now.;暫且合作吧。
TALKING_CARDS_STOATINTRO_448_F;;
TALKING_STOAT_DIALOGUE_STOATHOSTCHOSEN_157_M;What an honor.;真是榮幸。
TALKING_STOAT_DIALOGUE_STOATHOSTCHOSEN_157_F;;
TALKING_STOAT_DIALOGUE_STOATHOSTCHOSEN_REPEAT_#1_518_M;Yeah?[w:0.2][anim:sly] Alright.[w:0.2][anim:];要這樣？[w:0.2][anim:sly] 好吧。[w:0.2][anim:]
TALKING_STOAT_DIALOGUE_STOATHOSTCHOSEN_REPEAT_#1_518_F;;
TALKING_STOAT_DIALOGUE_STOATHOSTCHOSEN_REPEAT_#2_290_M;Fine choice.;好選擇。
TALKING_STOAT_DIALOGUE_STOATHOSTCHOSEN_REPEAT_#2_290_F;;
TALKING_STOAT_DIALOGUE_STOATHOSTCHOSEN_REPEAT_#3_756_M;Another sigil...[w:0.2];又一個印記…[w:0.2]
TALKING_STOAT_DIALOGUE_STOATHOSTCHOSEN_REPEAT_#3_756_F;;
TALKING_STOAT_DIALOGUE_STOATHOSTCHOSEN_REPEAT_#3_261_M;[anim:sly]Hooray...[anim:];[anim:sly]萬歲…[anim:]
TALKING_STOAT_DIALOGUE_STOATHOSTCHOSEN_REPEAT_#3_261_F;;
TALKING_STOAT_DIALOGUE_STOATSELECTIONCHOICEPOSITIVE_100_M;Hey.;嘿。
TALKING_STOAT_DIALOGUE_STOATSELECTIONCHOICEPOSITIVE_100_F;;
TALKING_STOAT_DIALOGUE_STOATSELECTIONCHOICEPOSITIVE_707_M;Pick me.;選我。
TALKING_STOAT_DIALOGUE_STOATSELECTIONCHOICEPOSITIVE_707_F;;
TALKING_STOAT_DIALOGUE_STOATSELECTIONCHOICEPOSITIVE_REPEAT_#1_780_M;I'll go.;讓我來。
TALKING_STOAT_DIALOGUE_STOATSELECTIONCHOICEPOSITIVE_REPEAT_#1_780_F;;
TALKING_STOAT_DIALOGUE_STOATSELECTIONCHOICEPOSITIVE_REPEAT_#2_822_M;It's me.;是我。
TALKING_STOAT_DIALOGUE_STOATSELECTIONCHOICEPOSITIVE_REPEAT_#2_822_F;;
TALKING_STOAT_DIALOGUE_STOATSELECTIONCHOICEPOSITIVE_REPEAT_#3_501_M;Your choice.;隨你便。
TALKING_STOAT_DIALOGUE_STOATSELECTIONCHOICEPOSITIVE_REPEAT_#3_501_F;;
GAMEPLAY_HINTS_HINT_NOTENOUGHBONES_187_M;You are lacking the Bones for that creature.;你缺乏該生物所需的骨頭。
GAMEPLAY_HINTS_HINT_NOTENOUGHBONES_187_F;;
GAMEPLAY_HINTS_HINT_NOTENOUGHBONES_REPEAT_#1_914_M;You'll need more Bones to play that [c:bR][v:0][c:].;你需要更多骨頭來打出 [c:bR][v:0][c:]。
GAMEPLAY_HINTS_HINT_NOTENOUGHBONES_REPEAT_#1_914_F;;
GAMEPLAY_HINTS_HINT_NOTENOUGHBONES_REPEAT_#2_219_M;You don't have [c:bR][v:1][c:] Bones yet. Lose some creatures and you might...;你沒有 [c:bR][v:1][c:] 根骨頭。損失些生物，或許能湊到…
GAMEPLAY_HINTS_HINT_NOTENOUGHBONES_REPEAT_#2_219_F;;
GAMEPLAY_HINTS_HINT_NOTENOUGHBONES_REPEAT_#3_780_M;That creature demands more Bones.;該生物需要更多骨頭。
GAMEPLAY_HINTS_HINT_NOTENOUGHBONES_REPEAT_#3_780_F;;
TUTORIAL_TUTORIALBONESTOKEN_797_M;From the death of your creature you've gained a [c:bR]bone.[c:];在你的生物死亡後，會獲得一根 [c:bR]骨頭。[c:]
TUTORIAL_TUTORIALBONESTOKEN_797_F;;
TUTORIAL_TUTORIALBONESTOKEN_637_M;You will not lose this until it is spent... or the battle ends.;你不會失去此物，除非你把它用掉…或是戰鬥結束。
TUTORIAL_TUTORIALBONESTOKEN_637_F;;
TUTORIAL_TUTORIALBONESTOKEN_REPEAT_#1_472_M;You've gained a [c:bR]bone.[c:];你獲得一根 [c:bR]骨頭。[c:]
TUTORIAL_TUTORIALBONESTOKEN_REPEAT_#1_472_F;;
TUTORIAL_TUTORIALBONESTOKEN_REPEAT_#1_268_M;It will stay there until you spend it... or the battle ends.;它會待在那兒，除非你把它用掉…或是戰鬥結束。
TUTORIAL_TUTORIALBONESTOKEN_REPEAT_#1_268_F;;
TUTORIAL_TUTORIALBONESTOKEN_REPEAT_#2_975_M;That's a [c:bR]bone.[c:];那是一根 [c:bR]骨頭。[c:]
TUTORIAL_TUTORIALBONESTOKEN_REPEAT_#2_975_F;;
TUTORIAL_TUTORIALBONESTOKEN_REPEAT_#3_546_M;Yes... That's a [c:bR]bone.[c:];沒錯…那是根 [c:bR]骨頭。[c:]
TUTORIAL_TUTORIALBONESTOKEN_REPEAT_#3_546_F;;
TALKING_STOAT_DIALOGUE_STOATDIEBONESTUTORIAL_207_M;[t:3]While I was asleep?;[t:3]在我睡覺的時候？
TALKING_STOAT_DIALOGUE_STOATDIEBONESTUTORIAL_207_F;;
TALKING_STOAT_DIALOGUE_STOATDIEBONESTUTORIAL_475_M;[t:3]Again?;[t:3]還來啊？
TALKING_STOAT_DIALOGUE_STOATDIEBONESTUTORIAL_475_F;;
GAMEPLAY_HINTS_HINT_CONSUMABLEDURINGDRAWPHASE_551_M;Not now. Draw a card first.;不是時候。先抽張卡片。
GAMEPLAY_HINTS_HINT_CONSUMABLEDURINGDRAWPHASE_551_F;;
GAMEPLAY_HINTS_HINT_CONSUMABLEDURINGDRAWPHASE_REPEAT_#1_596_M;Slow down. You will first need to draw a card.;慢點。首先你得抽張卡片。
GAMEPLAY_HINTS_HINT_CONSUMABLEDURINGDRAWPHASE_REPEAT_#1_596_F;;
GAMEPLAY_HINTS_HINT_CONSUMABLEDURINGDRAWPHASE_REPEAT_#2_747_M;One thing at a time. Draw first.;事有先後。先抽卡。
GAMEPLAY_HINTS_HINT_CONSUMABLEDURINGDRAWPHASE_REPEAT_#2_747_F;;
GAMEPLAY_HINTS_HINT_CONSUMABLEDURINGDRAWPHASE_REPEAT_#3_918_M;You may use that... after you have drawn your card for the turn.;你可以使用該物…在你這回合抽卡之後。
GAMEPLAY_HINTS_HINT_CONSUMABLEDURINGDRAWPHASE_REPEAT_#3_918_F;;
GAMEPLAY_HINTS_HINT_DRAWDURINGFIRSTTURN_758_M;You cannot draw a card on your first turn.;在你的第一回合是不能抽卡的。
GAMEPLAY_HINTS_HINT_DRAWDURINGFIRSTTURN_758_F;;
GAMEPLAY_HINTS_HINT_DRAWDURINGFIRSTTURN_REPEAT_#1_769_M;No drawing on the first turn. Don't you have enough?;第一回合不能抽卡啦。你還沒鬧夠啊？
GAMEPLAY_HINTS_HINT_DRAWDURINGFIRSTTURN_REPEAT_#1_769_F;;
GAMEPLAY_HINTS_HINT_DRAWDURINGFIRSTTURN_REPEAT_#2_759_M;You may draw next turn. For now, make do.;下個回合你才能抽卡。現在就先將就吧。
GAMEPLAY_HINTS_HINT_DRAWDURINGFIRSTTURN_REPEAT_#2_759_F;;
GAMEPLAY_HINTS_HINT_DRAWDURINGFIRSTTURN_REPEAT_#3_487_M;I will not allow you to draw a card on the first turn.;我不會讓你在第一回合抽卡的。
GAMEPLAY_HINTS_HINT_DRAWDURINGFIRSTTURN_REPEAT_#3_487_F;;
GAMEPLAY_HINTS_HINT_DRAWDURINGFIRSTTURN_REPEAT_#4_113_M;You don't draw on the first turn. You will have to wait for that.;你不能在第一回合抽卡。你得等等才行。
GAMEPLAY_HINTS_HINT_DRAWDURINGFIRSTTURN_REPEAT_#4_113_F;;
TUTORIAL_TUTORIALMORETHANONECARD_949_M;You know you can play more than one card per turn... right?;你知道每個回合可以打出不只一張卡片…對吧？
TUTORIAL_TUTORIALMORETHANONECARD_949_F;;
TUTORIAL_TUTORIALMORETHANONECARD_REPEAT_#1_914_M;Was I not clear?;我說的不夠清楚嗎？
TUTORIAL_TUTORIALMORETHANONECARD_REPEAT_#1_914_F;;
TUTORIAL_TUTORIALMORETHANONECARD_REPEAT_#1_209_M;You can play a Squirrel and also sacrifice it in the same turn.;你可以打出一張松鼠卡，並在同一回合中犧牲它。
TUTORIAL_TUTORIALMORETHANONECARD_REPEAT_#1_209_F;;
TUTORIAL_TUTORIALMORETHANONECARD_REPEAT_#2_734_M;You can play as many cards per turn as your sacrifices will allow...;只要犧牲數允許，就可以在每個回合中打出任意數量的卡片…
TUTORIAL_TUTORIALMORETHANONECARD_REPEAT_#2_734_F;;
TUTORIAL_TUTORIALMORETHANONECARD_REPEAT_#3_314_M;Just a Squirrel? Interesting choice...;就打一張松鼠卡？有趣的選擇…
TUTORIAL_TUTORIALMORETHANONECARD_REPEAT_#3_314_F;;
_OPPONENTSKIPTURN_479_M;I'm obligated to pass.;我必須跳過。
_OPPONENTSKIPTURN_479_F;;
_OPPONENTSKIPTURN_REPEAT_#1_558_M;Pass.;跳過。
_OPPONENTSKIPTURN_REPEAT_#1_558_F;;
_OPPONENTSKIPTURN_REPEAT_#2_465_M;I'll pass.;我跳過。
_OPPONENTSKIPTURN_REPEAT_#2_465_F;;
GAMEPLAY_HINTS_HINT_PLAYDURINGDRAWPHASE_465_M;Don't get ahead of yourself. You need to draw a card first.;別想一步登天。先抽張卡吧。
GAMEPLAY_HINTS_HINT_PLAYDURINGDRAWPHASE_465_F;;
GAMEPLAY_HINTS_HINT_PLAYDURINGDRAWPHASE_REPEAT_#1_797_M;I won't allow you to play a card before you draw a new one.;在你抽張新卡之前，我不會讓你打出任一張卡片的。
GAMEPLAY_HINTS_HINT_PLAYDURINGDRAWPHASE_REPEAT_#1_797_F;;
GAMEPLAY_HINTS_HINT_PLAYDURINGDRAWPHASE_REPEAT_#2_235_M;Draw a card.;抽張卡。
GAMEPLAY_HINTS_HINT_PLAYDURINGDRAWPHASE_REPEAT_#2_235_F;;
GAMEPLAY_HINTS_HINT_PLAYDURINGDRAWPHASE_REPEAT_#3_655_M;Stop. Draw a card.;別鬧了。抽張卡。
GAMEPLAY_HINTS_HINT_PLAYDURINGDRAWPHASE_REPEAT_#3_655_F;;
GAMEPLAY_HINTS_HINT_PLAYDURINGDRAWPHASE_REPEAT_#4_903_M;Your turn to draw. You can play cards after.;輪到你抽卡了。你可以之後再打出卡片。
GAMEPLAY_HINTS_HINT_PLAYDURINGDRAWPHASE_REPEAT_#4_903_F;;
TUTORIAL_TUTORIALCONSUMABLESREMINDER_266_M;Need I remind you? Your items may help...;需要我提醒嗎？你的道具或許有幫助…
TUTORIAL_TUTORIALCONSUMABLESREMINDER_266_F;;
TUTORIAL_TUTORIALCONSUMABLESREMINDER_REPEAT_#1_518_M;Have you forgotten the items I gave you? Tisk, tisk.;你忘了我給你的道具嗎？嘖、嘖。
TUTORIAL_TUTORIALCONSUMABLESREMINDER_REPEAT_#1_518_F;;
TUTORIAL_TUTORIALCONSUMABLESREMINDER_REPEAT_#2_479_M;An item could help...;道具能派上用場…
TUTORIAL_TUTORIALCONSUMABLESREMINDER_REPEAT_#2_479_F;;
TUTORIAL_TUTORIALCONSUMABLESREMINDER_REPEAT_#3_373_M;You're in a tough spot, no doubt.;沒錯，你陷入困境了。
TUTORIAL_TUTORIALCONSUMABLESREMINDER_REPEAT_#3_373_F;;
GAMEPLAY_HINTS_HINT_CONSUMABLEOUTSIDEOFBATTLE_478_M;You can't use that right now.;你現在無法使用該物。
GAMEPLAY_HINTS_HINT_CONSUMABLEOUTSIDEOFBATTLE_478_F;;
GAMEPLAY_HINTS_HINT_CONSUMABLEOUTSIDEOFBATTLE_REPEAT_#1_550_M;That one's only for card dueling.;那東西只能用在卡片決鬥中。
GAMEPLAY_HINTS_HINT_CONSUMABLEOUTSIDEOFBATTLE_REPEAT_#1_550_F;;
GAMEPLAY_HINTS_HINT_CONSUMABLEOUTSIDEOFBATTLE_REPEAT_#2_884_M;I'll let you use that... but not now.;我會讓你使用那個的…但不是現在。
GAMEPLAY_HINTS_HINT_CONSUMABLEOUTSIDEOFBATTLE_REPEAT_#2_884_F;;
GAMEPLAY_HINTS_HINT_CONSUMABLEOUTSIDEOFBATTLE_REPEAT_#3_994_M;Enough. You can't use that presently.;夠了。你現在還不能使用那個。
GAMEPLAY_HINTS_HINT_CONSUMABLEOUTSIDEOFBATTLE_REPEAT_#3_994_F;;
GAMEPLAY_HINTS_HINT_NOTENOUGHBLOODBUTSQUIRREL_880_M;You are lacking sacrifices for that [c:bR][v:0][c:]. But you do have a [c:bR]Squirrel[c:].;你缺乏該 [c:bR][v:0][c:] 所需的犧牲品。但你確實還有張 [c:bR]松鼠[c:]。
GAMEPLAY_HINTS_HINT_NOTENOUGHBLOODBUTSQUIRREL_880_F;;
GAMEPLAY_HINTS_HINT_NOTENOUGHBLOODBUTSQUIRREL_REPEAT_#1_259_M;You can't play that presently. But your [c:bR]Squirrel[c:] is free.;你現在還不能那樣做。但你的 [c:bR]松鼠[c:] 可以用。
GAMEPLAY_HINTS_HINT_NOTENOUGHBLOODBUTSQUIRREL_REPEAT_#1_259_F;;
GAMEPLAY_HINTS_HINT_NOTENOUGHBLOODBUTSQUIRREL_REPEAT_#2_827_M;No... But you can play your [c:bR]Squirrel[c:].;不行…但你可以打出你的 [c:bR]松鼠[c:]。
GAMEPLAY_HINTS_HINT_NOTENOUGHBLOODBUTSQUIRREL_REPEAT_#2_827_F;;
SPECIAL_NODES_EYEBALLCHOICEINTRO_267_M;Believe it or not, you're not the first to lose an eye here...;信不信由你，但你不是這裡第一個失去眼睛的傢伙…
SPECIAL_NODES_EYEBALLCHOICEINTRO_267_F;;
SPECIAL_NODES_EYEBALLCHOICEINTRO_204_M;This isn't much fun if you're half blind.;如果你半盲的話可不怎麼有趣。
SPECIAL_NODES_EYEBALLCHOICEINTRO_204_F;;
SPECIAL_NODES_EYEBALLCHOICEINTRO_660_M;Perhaps, you'd like to replace it?;還是，你想換顆眼睛？
SPECIAL_NODES_EYEBALLCHOICEINTRO_660_F;;
SPECIAL_NODES_EYEBALLCHOICEINTRO_REPEAT_#1_026_M;Would you care for a new eye?;你介意換顆新眼睛嗎？
SPECIAL_NODES_EYEBALLCHOICEINTRO_REPEAT_#1_026_F;;
SPECIAL_NODES_EYEBALLCHOICEINTRO_REPEAT_#2_576_M;I imagine you'd like to replace that eye you lost.;我想說你會更換失去的眼睛。
SPECIAL_NODES_EYEBALLCHOICEINTRO_REPEAT_#2_576_F;;
SPECIAL_NODES_EYEBALLCHOICEOUTRO_252_M;Better?;好多了？
SPECIAL_NODES_EYEBALLCHOICEOUTRO_252_F;;
SPECIAL_NODES_EYEBALLCHOICEOUTRO_341_M;Regardless, the choice is final.;無論如何，選好就不能更改。
SPECIAL_NODES_EYEBALLCHOICEOUTRO_341_F;;
SPECIAL_NODES_EYEBALLCHOICEOUTRO_REPEAT_#1_922_M;Happy with that one?;中意那一個嗎？
SPECIAL_NODES_EYEBALLCHOICEOUTRO_REPEAT_#1_922_F;;
SPECIAL_NODES_EYEBALLCHOICEOUTRO_REPEAT_#2_487_M;The choice is final.;選好就不能更改。
SPECIAL_NODES_EYEBALLCHOICEOUTRO_REPEAT_#2_487_F;;
TUTORIAL_TUTORIALOVERKILLDAMAGE_491_M;Did I neglect to mention overkill damage?;我是不是忘了提到過量擊殺傷害？
TUTORIAL_TUTORIALOVERKILLDAMAGE_491_F;;
TUTORIAL_TUTORIALOVERKILLDAMAGE_700_M;Excess damage is not wasted.;過量的傷害不會浪費掉。
TUTORIAL_TUTORIALOVERKILLDAMAGE_700_F;;
TUTORIAL_TUTORIALOVERKILLDAMAGE_360_M;It carries over to the card [c:bR]behind[c:] the mangled corpse of the victim.;它會越過受害者的破爛屍體對 [c:bR]後方[c:] 的卡片造成傷害。
TUTORIAL_TUTORIALOVERKILLDAMAGE_360_F;;
TUTORIAL_TUTORIALOVERKILLDAMAGE_306_M;Lucky for you.;你還真幸運。
TUTORIAL_TUTORIALOVERKILLDAMAGE_306_F;;
TUTORIAL_TUTORIALWOODCARVERINTRO_587_M;An ancient woman emerged from behind an oak tree.;一名古老的女子自橡樹後現身。
TUTORIAL_TUTORIALWOODCARVERINTRO_587_F;;
TUTORIAL_TUTORIALWOODCARVERINTRO_136_M;She carefully laid out intricate wood carvings, then gestured at them brusquely.;她小心翼翼擺出精細的木雕，並唐突地指著這些東西。
TUTORIAL_TUTORIALWOODCARVERINTRO_136_F;;
TUTORIAL_TUTORIALWOODCARVERINTRO_REPEAT_#1_741_M;The old [c:bR]woodcarver[c:] again appeared before you.;年老的 [c:bR]木雕師[c:] 再次出現在你面前。
TUTORIAL_TUTORIALWOODCARVERINTRO_REPEAT_#1_741_F;;
TUTORIAL_TUTORIALWOODCARVERINTRO_REPEAT_#2_042_M;It was another encounter with the [c:bR]woodcarver[c:].;再次碰上 [c:bR]木雕師[c:]。
TUTORIAL_TUTORIALWOODCARVERINTRO_REPEAT_#2_042_F;;
TUTORIAL_TUTORIALWOODCARVERINTRO_REPEAT_#2_247_M;Taking a head and a body of a totem may bring good fortune.;帶著圖騰的頭和身軀可以帶來好運。
TUTORIAL_TUTORIALWOODCARVERINTRO_REPEAT_#2_247_F;;
TUTORIAL_TUTORIALWOODCARVERINTRO_REPEAT_#3_797_M;The [c:bR]woodcarver[c:] again offered her carvings.;[c:bR]木雕師[c:] 再次提供她的雕刻品。
TUTORIAL_TUTORIALWOODCARVERINTRO_REPEAT_#3_797_F;;
TUTORIAL_TUTORIALWOODCARVERINCOMPLETE_493_M;You accepted the [c:bR]woodcarver's[c:] offering.;你接受 [c:bR]木雕師[c:] 的贈禮
TUTORIAL_TUTORIALWOODCARVERINCOMPLETE_493_F;;
TUTORIAL_TUTORIALWOODCARVERINCOMPLETE_267_M;It is useless without its second half...;沒有另一半，這東西一無是處…
TUTORIAL_TUTORIALWOODCARVERINCOMPLETE_267_F;;
TUTORIAL_TUTORIALWOODCARVERINCOMPLETE_436_M;But you intuited that this would not be the last encounter with [c:bR]her[c:].;但你有種感覺，這不會是最後一次碰上 [c:bR]她[c:]。
TUTORIAL_TUTORIALWOODCARVERINCOMPLETE_436_F;;
TUTORIAL_TUTORIALWOODCARVERINCOMPLETE_REPEAT_#1_993_M;Without a top and bottom the totem is incomplete.;缺少上半或下半部、圖騰就不完整。
TUTORIAL_TUTORIALWOODCARVERINCOMPLETE_REPEAT_#1_993_F;;
TUTORIAL_TUTORIALWOODCARVERINCOMPLETE_REPEAT_#2_532_M;Lacking a second matching piece, you bid the old [c:bR]woodcarver[c:] adieu.;缺乏相符合的第二部份，你只好向年老的 [c:bR]木雕師[c:] 道別。
TUTORIAL_TUTORIALWOODCARVERINCOMPLETE_REPEAT_#2_532_F;;
TUTORIAL_TUTORIALWOODCARVERINCOMPLETE_REPEAT_#3_959_M;You left with a piece, but without a complete totem.;你帶著一部分、但並非完整的圖騰離開。
TUTORIAL_TUTORIALWOODCARVERINCOMPLETE_REPEAT_#3_959_F;;
TUTORIAL_TUTORIALWOODCARVERCOMPLETE_127_M;The old woman bared her teeth in satisfaction. Your first [c:bR]totem[c:] was complete.;老太婆滿意地露齒微笑。你的第一個 [c:bR]圖騰[c:] 完成了。
TUTORIAL_TUTORIALWOODCARVERCOMPLETE_127_F;;
TUTORIAL_TUTORIALWOODCARVERCOMPLETE_746_M;The [c:bR][v:0][c:] sigil will now be marked upon all your [c:bR][v:1][c:] creatures.;[c:bR][v:0][c:] 印記現在會標示在你所有的 [c:bR][v:1][c:] 生物上。
TUTORIAL_TUTORIALWOODCARVERCOMPLETE_746_F;;
TUTORIAL_TUTORIALBUYPELTSINTRO_712_M;You were stopped along the way by a [c:bR]Trapper[c:] looking to liquidate his pelts.;一名 [c:bR]捕獸者[c:] 擋住你的去路，他想要賣掉手中皮草。
TUTORIAL_TUTORIALBUYPELTSINTRO_712_F;;
TUTORIAL_TUTORIALBUYPELTSINTRO_481_M;There was something uncanny about his appearance, but you were quickly distracted by his wares.;他的外觀有些古怪，但你的注意力很快就轉移到那些商品上。
TUTORIAL_TUTORIALBUYPELTSINTRO_481_F;;
TUTORIAL_TUTORIALBUYPELTSOUTRO_844_M;The man assured you of the value of the pelts.;此人向你保證皮草的價值。
TUTORIAL_TUTORIALBUYPELTSOUTRO_844_F;;
TUTORIAL_TUTORIALBUYPELTSOUTRO_742_M;They appear to be useless in a fight...;這東西看起來在戰鬥中毫無用處…
TUTORIAL_TUTORIALBUYPELTSOUTRO_742_F;;
TUTORIAL_TUTORIALBUYPELTSOUTRO_937_M;But he mentioned that [c:bR]The Trader[c:] further down the path would reward you for them.;但他提及後面路上的 [c:bR]商人[c:] 會為此給予你獎勵。
TUTORIAL_TUTORIALBUYPELTSOUTRO_937_F;;
TUTORIAL_TUTORIALTRADEPELTSINTRO_553_M;You encountered a small outpost in the woods tended by a mysterious woman.;你在森林中碰到一處由神秘女子經營的小貿易站。
TUTORIAL_TUTORIALTRADEPELTSINTRO_553_F;;
TUTORIAL_TUTORIALTRADEPELTSINTRO_123_M;It was [c:bR]The Trader[c:] that the old [c:bR]Trapper[c:] had mentioned!;這就是老 [c:bR]捕獸者[c:] 提到過的 [c:bR]商人[c:]！
TUTORIAL_TUTORIALTRADEPELTSINTRO_123_F;;
TUTORIAL_TUTORIALTRADEPELTSINTRO_887_M;Her appearance was unsettling but you were mollified by her offerings.;她的外觀令人不安，但她的商品令你滿意。
TUTORIAL_TUTORIALTRADEPELTSINTRO_887_F;;
GAME_FLOW_REGIONCOMPLETEPROSPECTOR_299_M;With sound of [c:bR]The Prospector[c:]'s pickaxe still ringing in your ears, you carried onwards.;[c:bR]探勘者[c:]的十字鎬聲仍在你耳中迴響，你繼續前進。
GAME_FLOW_REGIONCOMPLETEPROSPECTOR_299_F;;
