Column1;Column10;FR
GAMEPLAY_HINTS_HINT_DRAWDURINGFIRSTTURN_REPEAT_#1_769_M;No drawing on the first turn. Don't you have enough?;Pas de pioche au premier tour. Tu n'as pas déjà assez de cartes ?
GAMEPLAY_HINTS_HINT_DRAWDURINGFIRSTTURN_REPEAT_#1_769_F;;
GAMEPLAY_HINTS_HINT_DRAWDURINGFIRSTTURN_REPEAT_#2_759_M;You may draw next turn. For now, make do.;Tu pourras piocher au prochain tour. Contente-toi de ce que tu as déjà.
GAMEPLAY_HINTS_HINT_DRAWDURINGFIRSTTURN_REPEAT_#2_759_F;;
GAMEPLAY_HINTS_HINT_DRAWDURINGFIRSTTURN_REPEAT_#3_487_M;I will not allow you to draw a card on the first turn.;Je t'interdis de piocher une carte au premier tour.
GAMEPLAY_HINTS_HINT_DRAWDURINGFIRSTTURN_REPEAT_#3_487_F;;
GAMEPLAY_HINTS_HINT_DRAWDURINGFIRSTTURN_REPEAT_#4_113_M;You don't draw on the first turn. You will have to wait for that.;On ne pioche pas au premier tour. Un peu de patience.
GAMEPLAY_HINTS_HINT_DRAWDURINGFIRSTTURN_REPEAT_#4_113_F;;
TUTORIAL_TUTORIALMORETHANONECARD_949_M;You know you can play more than one card per turn... right?;Tu sais que tu peux jouer plus d'une carte par tour, n'est-ce pas ?
TUTORIAL_TUTORIALMORETHANONECARD_949_F;;
TUTORIAL_TUTORIALMORETHANONECARD_REPEAT_#1_914_M;Was I not clear?;N'ai-je pas été assez clair ?
TUTORIAL_TUTORIALMORETHANONECARD_REPEAT_#1_914_F;;
TUTORIAL_TUTORIALMORETHANONECARD_REPEAT_#1_209_M;You can play a Squirrel and also sacrifice it in the same turn.;Tu peux jouer un écureuil et le sacrifier au même tour.
TUTORIAL_TUTORIALMORETHANONECARD_REPEAT_#1_209_F;;
TUTORIAL_TUTORIALMORETHANONECARD_REPEAT_#2_734_M;You can play as many cards per turn as your sacrifices will allow...;Tu peux jouer autant de cartes que tu veux au même tour, tant que tu fais assez de sacrifices...
TUTORIAL_TUTORIALMORETHANONECARD_REPEAT_#2_734_F;;
TUTORIAL_TUTORIALMORETHANONECARD_REPEAT_#3_314_M;Just a Squirrel? Interesting choice...;Tu as joué uniquement un écureuil ? Intéressant...
TUTORIAL_TUTORIALMORETHANONECARD_REPEAT_#3_314_F;;
_OPPONENTSKIPTURN_479_M;I'm obligated to pass.;Je me vois dans l'obligation de passer.
_OPPONENTSKIPTURN_479_F;;
_OPPONENTSKIPTURN_REPEAT_#1_558_M;Pass.;Je passe.
_OPPONENTSKIPTURN_REPEAT_#1_558_F;;
_OPPONENTSKIPTURN_REPEAT_#2_465_M;I'll pass.;Je passe mon tour.
_OPPONENTSKIPTURN_REPEAT_#2_465_F;;
GAMEPLAY_HINTS_HINT_PLAYDURINGDRAWPHASE_465_M;Don't get ahead of yourself. You need to draw a card first.;Ne t'enflamme pas. Tu dois déjà piocher une carte.
GAMEPLAY_HINTS_HINT_PLAYDURINGDRAWPHASE_465_F;;
GAMEPLAY_HINTS_HINT_PLAYDURINGDRAWPHASE_REPEAT_#1_797_M;I won't allow you to play a card before you draw a new one.;Tu n'as pas le droit de jouer une carte avant d'en piocher une.
GAMEPLAY_HINTS_HINT_PLAYDURINGDRAWPHASE_REPEAT_#1_797_F;;
GAMEPLAY_HINTS_HINT_PLAYDURINGDRAWPHASE_REPEAT_#2_235_M;Draw a card.;Pioche une carte.
GAMEPLAY_HINTS_HINT_PLAYDURINGDRAWPHASE_REPEAT_#2_235_F;;
GAMEPLAY_HINTS_HINT_PLAYDURINGDRAWPHASE_REPEAT_#3_655_M;Stop. Draw a card.;Hop hop hop. Pioche une carte.
GAMEPLAY_HINTS_HINT_PLAYDURINGDRAWPHASE_REPEAT_#3_655_F;;
GAMEPLAY_HINTS_HINT_PLAYDURINGDRAWPHASE_REPEAT_#4_903_M;Your turn to draw. You can play cards after.;C'est à toi de piocher. Tu pourras jouer ensuite.
GAMEPLAY_HINTS_HINT_PLAYDURINGDRAWPHASE_REPEAT_#4_903_F;;
TUTORIAL_TUTORIALCONSUMABLESREMINDER_266_M;Need I remind you? Your items may help...;Tu te souviens que tes objets pourraient t'aider, oui ?
TUTORIAL_TUTORIALCONSUMABLESREMINDER_266_F;;
TUTORIAL_TUTORIALCONSUMABLESREMINDER_REPEAT_#1_518_M;Have you forgotten the items I gave you? Tisk, tisk.;Tu as oublié les objets que je t'ai donnés ? Eh bien, ça promet.
TUTORIAL_TUTORIALCONSUMABLESREMINDER_REPEAT_#1_518_F;;
TUTORIAL_TUTORIALCONSUMABLESREMINDER_REPEAT_#2_479_M;An item could help...;Un objet pourrait te servir...
TUTORIAL_TUTORIALCONSUMABLESREMINDER_REPEAT_#2_479_F;;
TUTORIAL_TUTORIALCONSUMABLESREMINDER_REPEAT_#3_373_M;You're in a tough spot, no doubt.;Tu es dans une position délicate, cela ne fait aucun doute.
TUTORIAL_TUTORIALCONSUMABLESREMINDER_REPEAT_#3_373_F;;
GAMEPLAY_HINTS_HINT_CONSUMABLEOUTSIDEOFBATTLE_478_M;You can't use that right now.;Tu ne peux pas utiliser ceci pour le moment.
GAMEPLAY_HINTS_HINT_CONSUMABLEOUTSIDEOFBATTLE_478_F;;
GAMEPLAY_HINTS_HINT_CONSUMABLEOUTSIDEOFBATTLE_REPEAT_#1_550_M;That one's only for card dueling.;Cet objet ne peut être utilisé qu'en pleine partie.
GAMEPLAY_HINTS_HINT_CONSUMABLEOUTSIDEOFBATTLE_REPEAT_#1_550_F;;
GAMEPLAY_HINTS_HINT_CONSUMABLEOUTSIDEOFBATTLE_REPEAT_#2_884_M;I'll let you use that... but not now.;Plus tard, tu pourras utiliser ceci... mais pas maintenant.
GAMEPLAY_HINTS_HINT_CONSUMABLEOUTSIDEOFBATTLE_REPEAT_#2_884_F;;
GAMEPLAY_HINTS_HINT_CONSUMABLEOUTSIDEOFBATTLE_REPEAT_#3_994_M;Enough. You can't use that presently.;Ça suffit. Tu ne peux pas utiliser ceci maintenant.
GAMEPLAY_HINTS_HINT_CONSUMABLEOUTSIDEOFBATTLE_REPEAT_#3_994_F;;
GAMEPLAY_HINTS_HINT_NOTENOUGHBLOODBUTSQUIRREL_880_M;You are lacking sacrifices for that [c:bR][v:0][c:]. But you do have a [c:bR]Squirrel[c:].;Tu dois encore faire des sacrifices pour jouer cette créature. Et tu as un [c:bR]écureuil[c:].
GAMEPLAY_HINTS_HINT_NOTENOUGHBLOODBUTSQUIRREL_880_F;;
GAMEPLAY_HINTS_HINT_NOTENOUGHBLOODBUTSQUIRREL_REPEAT_#1_259_M;You can't play that presently. But your [c:bR]Squirrel[c:] is free.;Tu ne peux pas jouer ceci pour le moment. En revanche, tu as un [c:bR]écureuil[c:] dans ta main.
GAMEPLAY_HINTS_HINT_NOTENOUGHBLOODBUTSQUIRREL_REPEAT_#1_259_F;;
GAMEPLAY_HINTS_HINT_NOTENOUGHBLOODBUTSQUIRREL_REPEAT_#2_827_M;No... But you can play your [c:bR]Squirrel[c:].;Non... Mais tu peux jouer ton [c:bR]écureuil[c:].
GAMEPLAY_HINTS_HINT_NOTENOUGHBLOODBUTSQUIRREL_REPEAT_#2_827_F;;
SPECIAL_NODES_EYEBALLCHOICEINTRO_267_M;Believe it or not, you're not the first to lose an eye here...;Tu ne me croiras peut-être pas, mais tu n'es pas le premier à perdre un œil ici...
SPECIAL_NODES_EYEBALLCHOICEINTRO_267_F;Believe it or not, you're not the first to lose an eye here...;Tu ne me croiras peut-être pas, mais tu n'es pas la première à perdre un œil ici...
SPECIAL_NODES_EYEBALLCHOICEINTRO_204_M;This isn't much fun if you're half blind.;Ce n'est pas très amusant si tu es borgne.
SPECIAL_NODES_EYEBALLCHOICEINTRO_204_F;;
SPECIAL_NODES_EYEBALLCHOICEINTRO_660_M;Perhaps, you'd like to replace it?;Tu voudrais peut-être le remplacer ?
SPECIAL_NODES_EYEBALLCHOICEINTRO_660_F;;
SPECIAL_NODES_EYEBALLCHOICEINTRO_REPEAT_#1_026_M;Would you care for a new eye?;Un nouvel œil, ça t'intéresserait ?
SPECIAL_NODES_EYEBALLCHOICEINTRO_REPEAT_#1_026_F;;
SPECIAL_NODES_EYEBALLCHOICEINTRO_REPEAT_#2_576_M;I imagine you'd like to replace that eye you lost.;J'imagine que tu aimerais remplacer l'œil que tu as perdu.
SPECIAL_NODES_EYEBALLCHOICEINTRO_REPEAT_#2_576_F;;
SPECIAL_NODES_EYEBALLCHOICEOUTRO_252_M;Better?;C'est mieux comme ça ?
SPECIAL_NODES_EYEBALLCHOICEOUTRO_252_F;;
SPECIAL_NODES_EYEBALLCHOICEOUTRO_341_M;Regardless, the choice is final.;De toute manière, tu ne peux pas revenir en arrière.
SPECIAL_NODES_EYEBALLCHOICEOUTRO_341_F;;
SPECIAL_NODES_EYEBALLCHOICEOUTRO_REPEAT_#1_922_M;Happy with that one?;Ça te convient ?
SPECIAL_NODES_EYEBALLCHOICEOUTRO_REPEAT_#1_922_F;;
SPECIAL_NODES_EYEBALLCHOICEOUTRO_REPEAT_#2_487_M;The choice is final.;Impossible de faire marche arrière.
SPECIAL_NODES_EYEBALLCHOICEOUTRO_REPEAT_#2_487_F;;
TUTORIAL_TUTORIALOVERKILLDAMAGE_491_M;Did I neglect to mention overkill damage?;Aurais-je omis de te parler des dégâts supplémentaires ?
TUTORIAL_TUTORIALOVERKILLDAMAGE_491_F;;
TUTORIAL_TUTORIALOVERKILLDAMAGE_700_M;Excess damage is not wasted.;Les dégâts infligés en excès ne sont pas perdus.
TUTORIAL_TUTORIALOVERKILLDAMAGE_700_F;;
TUTORIAL_TUTORIALOVERKILLDAMAGE_360_M;It carries over to the card [c:bR]behind[c:] the mangled corpse of the victim.;Ils sont infligés à la carte qui se trouve [c:bR]derrière[c:] la carcasse de la victime.
TUTORIAL_TUTORIALOVERKILLDAMAGE_360_F;;
TUTORIAL_TUTORIALOVERKILLDAMAGE_306_M;Lucky for you.;Avoue que tu as de la chance.
TUTORIAL_TUTORIALOVERKILLDAMAGE_306_F;;
TUTORIAL_TUTORIALWOODCARVERINTRO_587_M;An ancient woman emerged from behind an oak tree.;Une femme âgée surgit de derrière un chêne.
TUTORIAL_TUTORIALWOODCARVERINTRO_587_F;;
TUTORIAL_TUTORIALWOODCARVERINTRO_136_M;She carefully laid out intricate wood carvings, then gestured at them brusquely.;Elle dispose soigneusement des sculptures en bois élaborées, puis les montre brusquement du doigt.
TUTORIAL_TUTORIALWOODCARVERINTRO_136_F;;
TUTORIAL_TUTORIALWOODCARVERINTRO_REPEAT_#1_741_M;The old [c:bR]woodcarver[c:] again appeared before you.;La vieille [c:bR]sculptrice sur bois[c:] apparaît une nouvelle fois devant toi.
TUTORIAL_TUTORIALWOODCARVERINTRO_REPEAT_#1_741_F;;
TUTORIAL_TUTORIALWOODCARVERINTRO_REPEAT_#2_042_M;It was another encounter with the [c:bR]woodcarver[c:].;C'était une nouvelle rencontre avec la [c:bR]sculptrice sur bois[c:].
TUTORIAL_TUTORIALWOODCARVERINTRO_REPEAT_#2_042_F;;
TUTORIAL_TUTORIALWOODCARVERINTRO_REPEAT_#2_247_M;Taking a head and a body of a totem may bring good fortune.;Récupérer la tête et le corps d'un totem peut porter chance.
TUTORIAL_TUTORIALWOODCARVERINTRO_REPEAT_#2_247_F;;
TUTORIAL_TUTORIALWOODCARVERINTRO_REPEAT_#3_797_M;The [c:bR]woodcarver[c:] again offered her carvings.;La [c:bR]sculptrice sur bois[c:] t'offre à nouveau ses sculptures.
TUTORIAL_TUTORIALWOODCARVERINTRO_REPEAT_#3_797_F;;
TUTORIAL_TUTORIALWOODCARVERINCOMPLETE_493_M;You accepted the [c:bR]woodcarver's[c:] offering.;Tu acceptes l'offrande de la [c:bR]sculptrice sur bois[c:].
TUTORIAL_TUTORIALWOODCARVERINCOMPLETE_493_F;;
TUTORIAL_TUTORIALWOODCARVERINCOMPLETE_267_M;It is useless without its second half...;Sans la deuxième moitié, le totem est inutile...
TUTORIAL_TUTORIALWOODCARVERINCOMPLETE_267_F;;
TUTORIAL_TUTORIALWOODCARVERINCOMPLETE_436_M;But you intuited that this would not be the last encounter with [c:bR]her[c:].;Mais au fond de toi, tu sais que tu [c:bR]la[c:] reverras.
TUTORIAL_TUTORIALWOODCARVERINCOMPLETE_436_F;;
TUTORIAL_TUTORIALWOODCARVERINCOMPLETE_REPEAT_#1_993_M;Without a top and bottom the totem is incomplete.;Sans le haut ni le bas, le totem est incomplet.
TUTORIAL_TUTORIALWOODCARVERINCOMPLETE_REPEAT_#1_993_F;;
TUTORIAL_TUTORIALWOODCARVERINCOMPLETE_REPEAT_#2_532_M;Lacking a second matching piece, you bid the old [c:bR]woodcarver[c:] adieu.;Faute d'une deuxième partie du totem qui pourrait correspondre, tu dis au revoir à la [c:bR]sculptrice sur bois[c:].
TUTORIAL_TUTORIALWOODCARVERINCOMPLETE_REPEAT_#2_532_F;;
TUTORIAL_TUTORIALWOODCARVERINCOMPLETE_REPEAT_#3_959_M;You left with a piece, but without a complete totem.;Tu repars avec seulement une partie du totem.
TUTORIAL_TUTORIALWOODCARVERINCOMPLETE_REPEAT_#3_959_F;;
TUTORIAL_TUTORIALWOODCARVERCOMPLETE_127_M;The old woman bared her teeth in satisfaction. Your first [c:bR]totem[c:] was complete.;Le sourire de la vieille femme découvre ses dents. Tu disposes de ton premier [c:bR]totem[c:] complet.
TUTORIAL_TUTORIALWOODCARVERCOMPLETE_127_F;;
TUTORIAL_TUTORIALWOODCARVERCOMPLETE_746_M;The [c:bR][v:0][c:] sigil will now be marked upon all your [c:bR][v:1][c:] creatures.;L'emblème [c:bR][v:0][c:] ornera maintenant toutes tes créatures [c:bR][v:1][c:].
TUTORIAL_TUTORIALWOODCARVERCOMPLETE_746_F;;
TUTORIAL_TUTORIALBUYPELTSINTRO_712_M;You were stopped along the way by a [c:bR]Trapper[c:] looking to liquidate his pelts.;Un [c:bR]trappeur[c:] t'arrête en cours de route. Il cherche à liquider ses fourrures.
TUTORIAL_TUTORIALBUYPELTSINTRO_712_F;;
TUTORIAL_TUTORIALBUYPELTSINTRO_481_M;There was something uncanny about his appearance, but you were quickly distracted by his wares.;Son apparence te paraît étrange, mais tu n'as d'yeux que pour sa marchandise.
TUTORIAL_TUTORIALBUYPELTSINTRO_481_F;;
TUTORIAL_TUTORIALBUYPELTSOUTRO_844_M;The man assured you of the value of the pelts.;L'homme affirme que ses fourrures sont de qualité.
TUTORIAL_TUTORIALBUYPELTSOUTRO_844_F;;
TUTORIAL_TUTORIALBUYPELTSOUTRO_742_M;They appear to be useless in a fight...;Elles semblent toutefois être inutiles lors de combats...
TUTORIAL_TUTORIALBUYPELTSOUTRO_742_F;;
TUTORIAL_TUTORIALBUYPELTSOUTRO_937_M;But he mentioned that [c:bR]The Trader[c:] further down the path would reward you for them.;Mais il ajoute que [c:bR]la marchande[c:], installée un peu plus loin, pourrait te les échanger contre une récompense.
