Column1;Column10;POR
SPECIAL_NODES_WOODCARVERINTRO_REPEAT_#2_566_F;;
SPECIAL_NODES_WOODCARVERINTRO_REPEAT_#2_101_M;After an overlong moment of silence, she moved to offer her carvings.;Depois de um silêncio interminável, ela oferece as esculturas dela com um gesto.
SPECIAL_NODES_WOODCARVERINTRO_REPEAT_#2_101_F;;
TALKING_STOAT_DIALOGUE_STOATSACRIFICETUTORIAL_397_M;[t:9]Huh?[t:3][w:0.2] Hey[w:0.2] stop!;[t:9]Ahn?[t:3][w:0.2] Ei,[w:0.2] pare!
TALKING_STOAT_DIALOGUE_STOATSACRIFICETUTORIAL_397_F;;
TALKING_STOAT_DIALOGUE_STOATSACRIFICE_182_M;[t:0.01]Wow...[w:0.1] Seriously?;[t:0.01]Uau...[w:0.1] É sério isso?
TALKING_STOAT_DIALOGUE_STOATSACRIFICE_182_F;;
TALKING_STOAT_DIALOGUE_STOATSACRIFICE_REPEAT_#1_809_M;[t:0.01]Oh[w:0.2] come[w:0.2] on!;[t:0.01]Ah,[w:0.2] por[w:0.2] favor!
TALKING_STOAT_DIALOGUE_STOATSACRIFICE_REPEAT_#1_809_F;;
TALKING_STOAT_DIALOGUE_STOATSACRIFICE_REPEAT_#2_852_M;Again...;De novo...
TALKING_STOAT_DIALOGUE_STOATSACRIFICE_REPEAT_#2_852_F;;
TALKING_CARDS_STOATINTRO_856_M;You didn't sacrifice me?;Você não me sacrificou?
TALKING_CARDS_STOATINTRO_856_F;;
TALKING_CARDS_STOATINTRO_511_M;How kind.;Quanta gentileza.
TALKING_CARDS_STOATINTRO_511_F;;
TALKING_CARDS_STOATINTRO_153_M;You sacrificed me.[w:0.2];Você me sacrificou.[w:0.2]
TALKING_CARDS_STOATINTRO_153_F;;
TALKING_CARDS_STOATINTRO_269_M;[t:2][shake:1]While[w:0.2] I[w:0.2] was[w:0.2][shake:1] sleeping.[w:0.5];[t:2][shake:1]Enquanto[w:0.2] eu[w:0.2] estava[w:0.2][shake:1] dormindo.[w:0.5]
TALKING_CARDS_STOATINTRO_269_F;;
TALKING_CARDS_STOATINTRO_140_M;[anim:sly]It was the right play.[w:0.2];[anim:sly]Era a melhor jogada.[w:0.2]
TALKING_CARDS_STOATINTRO_140_F;;
TALKING_CARDS_STOATINTRO_279_M;I get it.[w:0.2];Eu entendo.[w:0.2]
TALKING_CARDS_STOATINTRO_279_F;;
TALKING_CARDS_STOATINTRO_193_M;[anim:]Maybe...;[anim:]E se você...
TALKING_CARDS_STOATINTRO_193_F;;
TALKING_CARDS_STOATINTRO_094_M;...you'll help me?[leshy:Take your turn.][w:2];Me ajudasse? [leshy:Seu turno.][w:2]
TALKING_CARDS_STOATINTRO_094_F;;
TALKING_CARDS_STOATINTRO_448_M;Play along for now.;Faça o jogo dele, por ora.
TALKING_CARDS_STOATINTRO_448_F;;
TALKING_STOAT_DIALOGUE_STOATHOSTCHOSEN_157_M;What an honor.;Que honra.
TALKING_STOAT_DIALOGUE_STOATHOSTCHOSEN_157_F;;
TALKING_STOAT_DIALOGUE_STOATHOSTCHOSEN_REPEAT_#1_518_M;Yeah?[w:0.2][anim:sly] Alright.[w:0.2][anim:];Mesmo?[w:0.2][anim:sly] Certo.[w:0.2][anim:]
TALKING_STOAT_DIALOGUE_STOATHOSTCHOSEN_REPEAT_#1_518_F;;
TALKING_STOAT_DIALOGUE_STOATHOSTCHOSEN_REPEAT_#2_290_M;Fine choice.;Ótima escolha.
TALKING_STOAT_DIALOGUE_STOATHOSTCHOSEN_REPEAT_#2_290_F;;
TALKING_STOAT_DIALOGUE_STOATHOSTCHOSEN_REPEAT_#3_756_M;Another sigil...[w:0.2];Outro selo...[w:0.2]
TALKING_STOAT_DIALOGUE_STOATHOSTCHOSEN_REPEAT_#3_756_F;;
TALKING_STOAT_DIALOGUE_STOATHOSTCHOSEN_REPEAT_#3_261_M;[anim:sly]Hooray...[anim:];[anim:sly]Eba![anim:]
TALKING_STOAT_DIALOGUE_STOATHOSTCHOSEN_REPEAT_#3_261_F;;
TALKING_STOAT_DIALOGUE_STOATSELECTIONCHOICEPOSITIVE_100_M;Hey.;Ei.
TALKING_STOAT_DIALOGUE_STOATSELECTIONCHOICEPOSITIVE_100_F;;
TALKING_STOAT_DIALOGUE_STOATSELECTIONCHOICEPOSITIVE_707_M;Pick me.;Me escolha.
TALKING_STOAT_DIALOGUE_STOATSELECTIONCHOICEPOSITIVE_707_F;;
TALKING_STOAT_DIALOGUE_STOATSELECTIONCHOICEPOSITIVE_REPEAT_#1_780_M;I'll go.;Deixe comigo.
TALKING_STOAT_DIALOGUE_STOATSELECTIONCHOICEPOSITIVE_REPEAT_#1_780_F;;
TALKING_STOAT_DIALOGUE_STOATSELECTIONCHOICEPOSITIVE_REPEAT_#2_822_M;It's me.;Eu mesmo.
TALKING_STOAT_DIALOGUE_STOATSELECTIONCHOICEPOSITIVE_REPEAT_#2_822_F;;
TALKING_STOAT_DIALOGUE_STOATSELECTIONCHOICEPOSITIVE_REPEAT_#3_501_M;Your choice.;A escolha certa.
TALKING_STOAT_DIALOGUE_STOATSELECTIONCHOICEPOSITIVE_REPEAT_#3_501_F;;
GAMEPLAY_HINTS_HINT_NOTENOUGHBONES_187_M;You are lacking the Bones for that creature.;Você precisa de mais ossos para essa criatura.
GAMEPLAY_HINTS_HINT_NOTENOUGHBONES_187_F;;
GAMEPLAY_HINTS_HINT_NOTENOUGHBONES_REPEAT_#1_914_M;You'll need more Bones to play that [c:bR][v:0][c:].;Você precisa de mais ossos para jogar a carta [c:bR][v:0][c:].
GAMEPLAY_HINTS_HINT_NOTENOUGHBONES_REPEAT_#1_914_F;;
GAMEPLAY_HINTS_HINT_NOTENOUGHBONES_REPEAT_#2_219_M;You don't have [c:bR][v:1][c:] Bones yet. Lose some creatures and you might...;Você precisa de [c:bR][v:1][c:] ossos. Quem sabe depois que algumas criaturas pereçam...
GAMEPLAY_HINTS_HINT_NOTENOUGHBONES_REPEAT_#2_219_F;;
GAMEPLAY_HINTS_HINT_NOTENOUGHBONES_REPEAT_#3_780_M;That creature demands more Bones.;Essa criatura precisa de mais ossos.
GAMEPLAY_HINTS_HINT_NOTENOUGHBONES_REPEAT_#3_780_F;;
TUTORIAL_TUTORIALBONESTOKEN_797_M;From the death of your creature you've gained a [c:bR]bone.[c:];A morte da criatura gerou um [c:bR]osso[c:].
TUTORIAL_TUTORIALBONESTOKEN_797_F;;
TUTORIAL_TUTORIALBONESTOKEN_637_M;You will not lose this until it is spent... or the battle ends.;Você só o perde ao gastá-lo ou... quando a batalha terminar.
TUTORIAL_TUTORIALBONESTOKEN_637_F;;
TUTORIAL_TUTORIALBONESTOKEN_REPEAT_#1_472_M;You've gained a [c:bR]bone.[c:];Você ganhou um [c:bR]osso[c:].
TUTORIAL_TUTORIALBONESTOKEN_REPEAT_#1_472_F;;
TUTORIAL_TUTORIALBONESTOKEN_REPEAT_#1_268_M;It will stay there until you spend it... or the battle ends.;Ele não sairá daí até que você o gaste... ou a batalha termine.
TUTORIAL_TUTORIALBONESTOKEN_REPEAT_#1_268_F;;
TUTORIAL_TUTORIALBONESTOKEN_REPEAT_#2_975_M;That's a [c:bR]bone.[c:];Isso é um [c:bR]osso[c:].
TUTORIAL_TUTORIALBONESTOKEN_REPEAT_#2_975_F;;
TUTORIAL_TUTORIALBONESTOKEN_REPEAT_#3_546_M;Yes... That's a [c:bR]bone.[c:];Arrã... Trata-se de um [c:bR]osso[c:].
TUTORIAL_TUTORIALBONESTOKEN_REPEAT_#3_546_F;;
TALKING_STOAT_DIALOGUE_STOATDIEBONESTUTORIAL_207_M;[t:3]While I was asleep?;[t:3]Enquanto eu dormia?
TALKING_STOAT_DIALOGUE_STOATDIEBONESTUTORIAL_207_F;;
TALKING_STOAT_DIALOGUE_STOATDIEBONESTUTORIAL_475_M;[t:3]Again?;[t:3]De novo?
TALKING_STOAT_DIALOGUE_STOATDIEBONESTUTORIAL_475_F;;
GAMEPLAY_HINTS_HINT_CONSUMABLEDURINGDRAWPHASE_551_M;Not now. Draw a card first.;Agora não. Compre uma carta primeiro.
GAMEPLAY_HINTS_HINT_CONSUMABLEDURINGDRAWPHASE_551_F;;
GAMEPLAY_HINTS_HINT_CONSUMABLEDURINGDRAWPHASE_REPEAT_#1_596_M;Slow down. You will first need to draw a card.;Acalme-se e compre uma carta primeiro.
GAMEPLAY_HINTS_HINT_CONSUMABLEDURINGDRAWPHASE_REPEAT_#1_596_F;;
GAMEPLAY_HINTS_HINT_CONSUMABLEDURINGDRAWPHASE_REPEAT_#2_747_M;One thing at a time. Draw first.;Uma coisa de cada vez. Compre primeiro.
GAMEPLAY_HINTS_HINT_CONSUMABLEDURINGDRAWPHASE_REPEAT_#2_747_F;;
GAMEPLAY_HINTS_HINT_CONSUMABLEDURINGDRAWPHASE_REPEAT_#3_918_M;You may use that... after you have drawn your card for the turn.;Você pode fazer isso depois de comprar a carta do turno.
GAMEPLAY_HINTS_HINT_CONSUMABLEDURINGDRAWPHASE_REPEAT_#3_918_F;;
GAMEPLAY_HINTS_HINT_DRAWDURINGFIRSTTURN_758_M;You cannot draw a card on your first turn.;Você não compra cartas no primeiro turno.
GAMEPLAY_HINTS_HINT_DRAWDURINGFIRSTTURN_758_F;;
GAMEPLAY_HINTS_HINT_DRAWDURINGFIRSTTURN_REPEAT_#1_769_M;No drawing on the first turn. Don't you have enough?;Nada de comprar no primeiro turno. Você já tem o suficiente.
GAMEPLAY_HINTS_HINT_DRAWDURINGFIRSTTURN_REPEAT_#1_769_F;;
GAMEPLAY_HINTS_HINT_DRAWDURINGFIRSTTURN_REPEAT_#2_759_M;You may draw next turn. For now, make do.;Você poderá comprar no próximo turno. Use o que tem.
GAMEPLAY_HINTS_HINT_DRAWDURINGFIRSTTURN_REPEAT_#2_759_F;;
GAMEPLAY_HINTS_HINT_DRAWDURINGFIRSTTURN_REPEAT_#3_487_M;I will not allow you to draw a card on the first turn.;Não permitirei que você compre uma carta no primeiro turno.
GAMEPLAY_HINTS_HINT_DRAWDURINGFIRSTTURN_REPEAT_#3_487_F;;
GAMEPLAY_HINTS_HINT_DRAWDURINGFIRSTTURN_REPEAT_#4_113_M;You don't draw on the first turn. You will have to wait for that.;Não se compra cartas no primeiro turno. Você terá que esperar.
GAMEPLAY_HINTS_HINT_DRAWDURINGFIRSTTURN_REPEAT_#4_113_F;;
TUTORIAL_TUTORIALMORETHANONECARD_949_M;You know you can play more than one card per turn... right?;Você sabe que pode jogar mais de uma carta por turno, não é?
TUTORIAL_TUTORIALMORETHANONECARD_949_F;;
TUTORIAL_TUTORIALMORETHANONECARD_REPEAT_#1_914_M;Was I not clear?;Não fui claro?
TUTORIAL_TUTORIALMORETHANONECARD_REPEAT_#1_914_F;;
TUTORIAL_TUTORIALMORETHANONECARD_REPEAT_#1_209_M;You can play a Squirrel and also sacrifice it in the same turn.;Você pode jogar um Esquilo e sacrificá-lo no mesmo turno.
TUTORIAL_TUTORIALMORETHANONECARD_REPEAT_#1_209_F;;
TUTORIAL_TUTORIALMORETHANONECARD_REPEAT_#2_734_M;You can play as many cards per turn as your sacrifices will allow...;Você pode jogar quantas cartas seus sacrifícios permitirem por turno...
TUTORIAL_TUTORIALMORETHANONECARD_REPEAT_#2_734_F;;
TUTORIAL_TUTORIALMORETHANONECARD_REPEAT_#3_314_M;Just a Squirrel? Interesting choice...;Só um Esquilo? Que escolha interessante...
TUTORIAL_TUTORIALMORETHANONECARD_REPEAT_#3_314_F;;
_OPPONENTSKIPTURN_479_M;I'm obligated to pass.;Tenho que passar.
_OPPONENTSKIPTURN_479_F;;
_OPPONENTSKIPTURN_REPEAT_#1_558_M;Pass.;Passo.
_OPPONENTSKIPTURN_REPEAT_#1_558_F;;
_OPPONENTSKIPTURN_REPEAT_#2_465_M;I'll pass.;Eu passo.
_OPPONENTSKIPTURN_REPEAT_#2_465_F;;
GAMEPLAY_HINTS_HINT_PLAYDURINGDRAWPHASE_465_M;Don't get ahead of yourself. You need to draw a card first.;Não meta os pés pelas mãos. Compre uma carta primeiro.
GAMEPLAY_HINTS_HINT_PLAYDURINGDRAWPHASE_465_F;;
GAMEPLAY_HINTS_HINT_PLAYDURINGDRAWPHASE_REPEAT_#1_797_M;I won't allow you to play a card before you draw a new one.;Você não pode jogar uma carta até que tenha comprado uma nova.
GAMEPLAY_HINTS_HINT_PLAYDURINGDRAWPHASE_REPEAT_#1_797_F;;
GAMEPLAY_HINTS_HINT_PLAYDURINGDRAWPHASE_REPEAT_#2_235_M;Draw a card.;Compre uma carta.
GAMEPLAY_HINTS_HINT_PLAYDURINGDRAWPHASE_REPEAT_#2_235_F;;
GAMEPLAY_HINTS_HINT_PLAYDURINGDRAWPHASE_REPEAT_#3_655_M;Stop. Draw a card.;Espere. Compre uma carta.
GAMEPLAY_HINTS_HINT_PLAYDURINGDRAWPHASE_REPEAT_#3_655_F;;
GAMEPLAY_HINTS_HINT_PLAYDURINGDRAWPHASE_REPEAT_#4_903_M;Your turn to draw. You can play cards after.;Sua vez de comprar. Só aí você pode jogar cartas.
GAMEPLAY_HINTS_HINT_PLAYDURINGDRAWPHASE_REPEAT_#4_903_F;;
TUTORIAL_TUTORIALCONSUMABLESREMINDER_266_M;Need I remind you? Your items may help...;Lembre-se: seus itens são úteis...
TUTORIAL_TUTORIALCONSUMABLESREMINDER_266_F;;
TUTORIAL_TUTORIALCONSUMABLESREMINDER_REPEAT_#1_518_M;Have you forgotten the items I gave you? Tisk, tisk.;Se esqueceu dos itens que dei a você? Tsc, tsc...
TUTORIAL_TUTORIALCONSUMABLESREMINDER_REPEAT_#1_518_F;;
TUTORIAL_TUTORIALCONSUMABLESREMINDER_REPEAT_#2_479_M;An item could help...;Um item seria útil...
TUTORIAL_TUTORIALCONSUMABLESREMINDER_REPEAT_#2_479_F;;
TUTORIAL_TUTORIALCONSUMABLESREMINDER_REPEAT_#3_373_M;You're in a tough spot, no doubt.;Você está em uma situação difícil.
TUTORIAL_TUTORIALCONSUMABLESREMINDER_REPEAT_#3_373_F;;
GAMEPLAY_HINTS_HINT_CONSUMABLEOUTSIDEOFBATTLE_478_M;You can't use that right now.;Você não pode usar isso agora.
GAMEPLAY_HINTS_HINT_CONSUMABLEOUTSIDEOFBATTLE_478_F;;
GAMEPLAY_HINTS_HINT_CONSUMABLEOUTSIDEOFBATTLE_REPEAT_#1_550_M;That one's only for card dueling.;Isso só funciona durante os duelos de cartas.
GAMEPLAY_HINTS_HINT_CONSUMABLEOUTSIDEOFBATTLE_REPEAT_#1_550_F;;
GAMEPLAY_HINTS_HINT_CONSUMABLEOUTSIDEOFBATTLE_REPEAT_#2_884_M;I'll let you use that... but not now.;Você poderá usar isso... mas não agora.
GAMEPLAY_HINTS_HINT_CONSUMABLEOUTSIDEOFBATTLE_REPEAT_#2_884_F;;
GAMEPLAY_HINTS_HINT_CONSUMABLEOUTSIDEOFBATTLE_REPEAT_#3_994_M;Enough. You can't use that presently.;Já chega. Você não pode usar isso agora.
GAMEPLAY_HINTS_HINT_CONSUMABLEOUTSIDEOFBATTLE_REPEAT_#3_994_F;;
GAMEPLAY_HINTS_HINT_NOTENOUGHBLOODBUTSQUIRREL_880_M;You are lacking sacrifices for that [c:bR][v:0][c:]. But you do have a [c:bR]Squirrel[c:].;Você precisa de mais sacrifícios para a carta [c:bR][v:0][c:]. Mas você tem um [c:bR]Esquilo[c:].
GAMEPLAY_HINTS_HINT_NOTENOUGHBLOODBUTSQUIRREL_880_F;;
GAMEPLAY_HINTS_HINT_NOTENOUGHBLOODBUTSQUIRREL_REPEAT_#1_259_M;You can't play that presently. But your [c:bR]Squirrel[c:] is free.;Não pode jogar essa carta agora. Mas o [c:bR]Esquilo[c:] não custa nada.
GAMEPLAY_HINTS_HINT_NOTENOUGHBLOODBUTSQUIRREL_REPEAT_#1_259_F;;
GAMEPLAY_HINTS_HINT_NOTENOUGHBLOODBUTSQUIRREL_REPEAT_#2_827_M;No... But you can play your [c:bR]Squirrel[c:].;Não... Mas você pode jogar o [c:bR]Esquilo[c:].
GAMEPLAY_HINTS_HINT_NOTENOUGHBLOODBUTSQUIRREL_REPEAT_#2_827_F;;
SPECIAL_NODES_EYEBALLCHOICEINTRO_267_M;Believe it or not, you're not the first to lose an eye here...;Acredite se quiser, mas outros também já perderam um olho aqui...
SPECIAL_NODES_EYEBALLCHOICEINTRO_267_F;;
SPECIAL_NODES_EYEBALLCHOICEINTRO_204_M;This isn't much fun if you're half blind.;Ficar semicego não é muito divertido.
SPECIAL_NODES_EYEBALLCHOICEINTRO_204_F;;
SPECIAL_NODES_EYEBALLCHOICEINTRO_660_M;Perhaps, you'd like to replace it?;Você gostaria de substituí-lo?
SPECIAL_NODES_EYEBALLCHOICEINTRO_660_F;;
SPECIAL_NODES_EYEBALLCHOICEINTRO_REPEAT_#1_026_M;Would you care for a new eye?;Você quer um olho novo?
SPECIAL_NODES_EYEBALLCHOICEINTRO_REPEAT_#1_026_F;;
SPECIAL_NODES_EYEBALLCHOICEINTRO_REPEAT_#2_576_M;I imagine you'd like to replace that eye you lost.;Talvez você queira repor o olho perdido.
SPECIAL_NODES_EYEBALLCHOICEINTRO_REPEAT_#2_576_F;;
SPECIAL_NODES_EYEBALLCHOICEOUTRO_252_M;Better?;Gostou?
SPECIAL_NODES_EYEBALLCHOICEOUTRO_252_F;;
SPECIAL_NODES_EYEBALLCHOICEOUTRO_341_M;Regardless, the choice is final.;Enfim, você não pode voltar atrás.
SPECIAL_NODES_EYEBALLCHOICEOUTRO_341_F;;
SPECIAL_NODES_EYEBALLCHOICEOUTRO_REPEAT_#1_922_M;Happy with that one?;O que você achou desse?
SPECIAL_NODES_EYEBALLCHOICEOUTRO_REPEAT_#1_922_F;;
SPECIAL_NODES_EYEBALLCHOICEOUTRO_REPEAT_#2_487_M;The choice is final.;Você não pode trocar.
SPECIAL_NODES_EYEBALLCHOICEOUTRO_REPEAT_#2_487_F;;
TUTORIAL_TUTORIALOVERKILLDAMAGE_491_M;Did I neglect to mention overkill damage?;Por acaso falei sobrei dano de aniquilação?
TUTORIAL_TUTORIALOVERKILLDAMAGE_491_F;;
TUTORIAL_TUTORIALOVERKILLDAMAGE_700_M;Excess damage is not wasted.;O dano excedente não se perde.
TUTORIAL_TUTORIALOVERKILLDAMAGE_700_F;;
TUTORIAL_TUTORIALOVERKILLDAMAGE_360_M;It carries over to the card [c:bR]behind[c:] the mangled corpse of the victim.;Ele atinge a carta que estiver [c:bR]atrás[c:] do cadáver mutilado da vítima.
TUTORIAL_TUTORIALOVERKILLDAMAGE_360_F;;
TUTORIAL_TUTORIALOVERKILLDAMAGE_306_M;Lucky for you.;Que sorte a sua.
TUTORIAL_TUTORIALOVERKILLDAMAGE_306_F;;
TUTORIAL_TUTORIALWOODCARVERINTRO_587_M;An ancient woman emerged from behind an oak tree.;Uma idosa emerge de trás de um carvalho.
TUTORIAL_TUTORIALWOODCARVERINTRO_587_F;;
TUTORIAL_TUTORIALWOODCARVERINTRO_136_M;She carefully laid out intricate wood carvings, then gestured at them brusquely.;Ela dispõe intrincadas esculturas de madeira na sua frente, então aponta para elas de forma brusca.
TUTORIAL_TUTORIALWOODCARVERINTRO_136_F;;
TUTORIAL_TUTORIALWOODCARVERINTRO_REPEAT_#1_741_M;The old [c:bR]woodcarver[c:] again appeared before you.;A velha [c:bR]Cinzeladora[c:] aparece novamente diante de você.
TUTORIAL_TUTORIALWOODCARVERINTRO_REPEAT_#1_741_F;;
TUTORIAL_TUTORIALWOODCARVERINTRO_REPEAT_#2_042_M;It was another encounter with the [c:bR]woodcarver[c:].;Outro encontro com a [c:bR]Cinzeladora[c:].
TUTORIAL_TUTORIALWOODCARVERINTRO_REPEAT_#2_042_F;;
TUTORIAL_TUTORIALWOODCARVERINTRO_REPEAT_#2_247_M;Taking a head and a body of a totem may bring good fortune.;Conseguir a cabeça e o corpo de um totem talvez traga boa sorte.
TUTORIAL_TUTORIALWOODCARVERINTRO_REPEAT_#2_247_F;;
TUTORIAL_TUTORIALWOODCARVERINTRO_REPEAT_#3_797_M;The [c:bR]woodcarver[c:] again offered her carvings.;A [c:bR]Cinzeladora[c:] mais uma vez oferece as esculturas dela.
TUTORIAL_TUTORIALWOODCARVERINTRO_REPEAT_#3_797_F;;
TUTORIAL_TUTORIALWOODCARVERINCOMPLETE_493_M;You accepted the [c:bR]woodcarver's[c:] offering.;Você aceita a oferta da [c:bR]Cinzeladora[c:].
TUTORIAL_TUTORIALWOODCARVERINCOMPLETE_493_F;;
TUTORIAL_TUTORIALWOODCARVERINCOMPLETE_267_M;It is useless without its second half...;Não serve para nada sem a outra parte...
TUTORIAL_TUTORIALWOODCARVERINCOMPLETE_267_F;;
TUTORIAL_TUTORIALWOODCARVERINCOMPLETE_436_M;But you intuited that this would not be the last encounter with [c:bR]her[c:].;Contudo, você imaginou que esta não seria a última vez que encontraria com [c:bR]ela[c:].
TUTORIAL_TUTORIALWOODCARVERINCOMPLETE_436_F;;
TUTORIAL_TUTORIALWOODCARVERINCOMPLETE_REPEAT_#1_993_M;Without a top and bottom the totem is incomplete.;O totem está incompleto sem as partes de cima e de baixo.
TUTORIAL_TUTORIALWOODCARVERINCOMPLETE_REPEAT_#1_993_F;;
TUTORIAL_TUTORIALWOODCARVERINCOMPLETE_REPEAT_#2_532_M;Lacking a second matching piece, you bid the old [c:bR]woodcarver[c:] adieu.;Você se despede da velha [c:bR]Cinzeladora[c:] mesmo que lhe falte uma parte do totem.
TUTORIAL_TUTORIALWOODCARVERINCOMPLETE_REPEAT_#2_532_F;;
TUTORIAL_TUTORIALWOODCARVERINCOMPLETE_REPEAT_#3_959_M;You left with a piece, but without a complete totem.;Você parte com uma das peças, mas ainda sem um totem completo.
TUTORIAL_TUTORIALWOODCARVERINCOMPLETE_REPEAT_#3_959_F;;
TUTORIAL_TUTORIALWOODCARVERCOMPLETE_127_M;The old woman bared her teeth in satisfaction. Your first [c:bR]totem[c:] was complete.;A idosa abre um sorriso de satisfação. Você completou o seu primeiro [c:bR]totem[c:].
TUTORIAL_TUTORIALWOODCARVERCOMPLETE_127_F;;
TUTORIAL_TUTORIALWOODCARVERCOMPLETE_746_M;The [c:bR][v:0][c:] sigil will now be marked upon all your [c:bR][v:1][c:] creatures.;Suas criaturas [c:bR][v:1][c:] agora terão o selo [c:bR][v:0][c:].
TUTORIAL_TUTORIALWOODCARVERCOMPLETE_746_F;;
TUTORIAL_TUTORIALBUYPELTSINTRO_712_M;You were stopped along the way by a [c:bR]Trapper[c:] looking to liquidate his pelts.;Um [c:bR]Caçador[c:] interrompeu sua jornada para oferecer peles.
TUTORIAL_TUTORIALBUYPELTSINTRO_712_F;;
TUTORIAL_TUTORIALBUYPELTSINTRO_481_M;There was something uncanny about his appearance, but you were quickly distracted by his wares.;Há algo incomum na aparência dele, mas você se distraiu olhando as mercadorias.
TUTORIAL_TUTORIALBUYPELTSINTRO_481_F;;
TUTORIAL_TUTORIALBUYPELTSOUTRO_844_M;The man assured you of the value of the pelts.;O homem garante que as peles dele são valiosas.
TUTORIAL_TUTORIALBUYPELTSOUTRO_844_F;;
TUTORIAL_TUTORIALBUYPELTSOUTRO_742_M;They appear to be useless in a fight...;Elas seriam de pouca ajuda numa batalha...
TUTORIAL_TUTORIALBUYPELTSOUTRO_742_F;;
TUTORIAL_TUTORIALBUYPELTSOUTRO_937_M;But he mentioned that [c:bR]The Trader[c:] further down the path would reward you for them.;Todavia, ele menciona que a [c:bR]Comerciante[c:] que está mais à frente oferecerá uma boa recompensa por elas.
TUTORIAL_TUTORIALBUYPELTSOUTRO_937_F;;
TUTORIAL_TUTORIALTRADEPELTSINTRO_553_M;You encountered a small outpost in the woods tended by a mysterious woman.;Você chega a um pequeno entreposto na floresta que é administrado por uma mulher misteriosa.
TUTORIAL_TUTORIALTRADEPELTSINTRO_553_F;;
TUTORIAL_TUTORIALTRADEPELTSINTRO_123_M;It was [c:bR]The Trader[c:] that the old [c:bR]Trapper[c:] had mentioned!;É a [c:bR]Comerciante[c:] de quem o [c:bR]Caçador[c:] falou!
TUTORIAL_TUTORIALTRADEPELTSINTRO_123_F;;
TUTORIAL_TUTORIALTRADEPELTSINTRO_887_M;Her appearance was unsettling but you were mollified by her offerings.;Ela tem uma aparência incômoda, mas as mercadorias dela são atraentes.
TUTORIAL_TUTORIALTRADEPELTSINTRO_887_F;;
