Column1;Column10;JP
TALKING_STOAT_DIALOGUE_STOATSELECTIONCHOICEPOSITIVE_REPEAT_#1_780_F;;
TALKING_STOAT_DIALOGUE_STOATSELECTIONCHOICEPOSITIVE_REPEAT_#2_822_M;It's me.;ボクだよ。
TALKING_STOAT_DIALOGUE_STOATSELECTIONCHOICEPOSITIVE_REPEAT_#2_822_F;;
TALKING_STOAT_DIALOGUE_STOATSELECTIONCHOICEPOSITIVE_REPEAT_#3_501_M;Your choice.;お前が選ぶんだ。
TALKING_STOAT_DIALOGUE_STOATSELECTIONCHOICEPOSITIVE_REPEAT_#3_501_F;;
GAMEPLAY_HINTS_HINT_NOTENOUGHBONES_187_M;You are lacking the Bones for that creature.;その生物を得るには骨が足りない。
GAMEPLAY_HINTS_HINT_NOTENOUGHBONES_187_F;;
GAMEPLAY_HINTS_HINT_NOTENOUGHBONES_REPEAT_#1_914_M;You'll need more Bones to play that [c:bR][v:0][c:].;その[c:bR][v:0][c:]を出すにはもっと骨がいる。
GAMEPLAY_HINTS_HINT_NOTENOUGHBONES_REPEAT_#1_914_F;;
GAMEPLAY_HINTS_HINT_NOTENOUGHBONES_REPEAT_#2_219_M;You don't have [c:bR][v:1][c:] Bones yet. Lose some creatures and you might...;まだ[c:bR][v:1][c:]個の骨を持っていない。 生物を何匹か失えば得られるだろう…
GAMEPLAY_HINTS_HINT_NOTENOUGHBONES_REPEAT_#2_219_F;;
GAMEPLAY_HINTS_HINT_NOTENOUGHBONES_REPEAT_#3_780_M;That creature demands more Bones.;その生物はさらなる量の骨を欲している。
GAMEPLAY_HINTS_HINT_NOTENOUGHBONES_REPEAT_#3_780_F;;
TUTORIAL_TUTORIALBONESTOKEN_797_M;From the death of your creature you've gained a [c:bR]bone.[c:];生物の死により、[c:bR]骨[c:]を1個得た。
TUTORIAL_TUTORIALBONESTOKEN_797_F;;
TUTORIAL_TUTORIALBONESTOKEN_637_M;You will not lose this until it is spent... or the battle ends.;骨は消費されるか…戦闘が終わるまで失われない。
TUTORIAL_TUTORIALBONESTOKEN_637_F;;
TUTORIAL_TUTORIALBONESTOKEN_REPEAT_#1_472_M;You've gained a [c:bR]bone.[c:];[c:bR]骨[c:]を1個得た。
TUTORIAL_TUTORIALBONESTOKEN_REPEAT_#1_472_F;;
TUTORIAL_TUTORIALBONESTOKEN_REPEAT_#1_268_M;It will stay there until you spend it... or the battle ends.;骨は消費されるか…戦闘が終わるまで失われない。
TUTORIAL_TUTORIALBONESTOKEN_REPEAT_#1_268_F;;
TUTORIAL_TUTORIALBONESTOKEN_REPEAT_#2_975_M;That's a [c:bR]bone.[c:];それは[c:bR]骨[c:]だ。
TUTORIAL_TUTORIALBONESTOKEN_REPEAT_#2_975_F;;
TUTORIAL_TUTORIALBONESTOKEN_REPEAT_#3_546_M;Yes... That's a [c:bR]bone.[c:];うむ… それは[c:bR]骨[c:]だ。
TUTORIAL_TUTORIALBONESTOKEN_REPEAT_#3_546_F;;
TALKING_STOAT_DIALOGUE_STOATDIEBONESTUTORIAL_207_M;[t:3]While I was asleep?;[t:3]ボクが寝ている間に？
TALKING_STOAT_DIALOGUE_STOATDIEBONESTUTORIAL_207_F;;
TALKING_STOAT_DIALOGUE_STOATDIEBONESTUTORIAL_475_M;[t:3]Again?;[t:3]またなの？
TALKING_STOAT_DIALOGUE_STOATDIEBONESTUTORIAL_475_F;;
GAMEPLAY_HINTS_HINT_CONSUMABLEDURINGDRAWPHASE_551_M;Not now. Draw a card first.;今ではない。 先にカードを引くのだ。
GAMEPLAY_HINTS_HINT_CONSUMABLEDURINGDRAWPHASE_551_F;;
GAMEPLAY_HINTS_HINT_CONSUMABLEDURINGDRAWPHASE_REPEAT_#1_596_M;Slow down. You will first need to draw a card.;落ち着くのだ。 まずカードを引かなければならぬ。
GAMEPLAY_HINTS_HINT_CONSUMABLEDURINGDRAWPHASE_REPEAT_#1_596_F;;
GAMEPLAY_HINTS_HINT_CONSUMABLEDURINGDRAWPHASE_REPEAT_#2_747_M;One thing at a time. Draw first.;物事は一つずつ進めるものだ。 先にカードを引け。
GAMEPLAY_HINTS_HINT_CONSUMABLEDURINGDRAWPHASE_REPEAT_#2_747_F;;
GAMEPLAY_HINTS_HINT_CONSUMABLEDURINGDRAWPHASE_REPEAT_#3_918_M;You may use that... after you have drawn your card for the turn.;それが使えるのは… このターンでカードを引いた後だ。
GAMEPLAY_HINTS_HINT_CONSUMABLEDURINGDRAWPHASE_REPEAT_#3_918_F;;
GAMEPLAY_HINTS_HINT_DRAWDURINGFIRSTTURN_758_M;You cannot draw a card on your first turn.;1ターン目ではカードを引くことはできぬ。
GAMEPLAY_HINTS_HINT_DRAWDURINGFIRSTTURN_758_F;;
GAMEPLAY_HINTS_HINT_DRAWDURINGFIRSTTURN_REPEAT_#1_769_M;No drawing on the first turn. Don't you have enough?;1ターン目ではカードを引けない。 <br>すでに十分カードはある。
GAMEPLAY_HINTS_HINT_DRAWDURINGFIRSTTURN_REPEAT_#1_769_F;;
GAMEPLAY_HINTS_HINT_DRAWDURINGFIRSTTURN_REPEAT_#2_759_M;You may draw next turn. For now, make do.;次のターンなら引いてもよい。 <br>今は手持ちのカードでどうにかするのだ。
GAMEPLAY_HINTS_HINT_DRAWDURINGFIRSTTURN_REPEAT_#2_759_F;;
GAMEPLAY_HINTS_HINT_DRAWDURINGFIRSTTURN_REPEAT_#3_487_M;I will not allow you to draw a card on the first turn.;最初のターンでカードを引くことは認められない。
GAMEPLAY_HINTS_HINT_DRAWDURINGFIRSTTURN_REPEAT_#3_487_F;;
GAMEPLAY_HINTS_HINT_DRAWDURINGFIRSTTURN_REPEAT_#4_113_M;You don't draw on the first turn. You will have to wait for that.;最初のターンでカードは引けない。 しばし待つのだ。
GAMEPLAY_HINTS_HINT_DRAWDURINGFIRSTTURN_REPEAT_#4_113_F;;
TUTORIAL_TUTORIALMORETHANONECARD_949_M;You know you can play more than one card per turn... right?;ターンごとに出すカードは複数枚でもかまわない…
TUTORIAL_TUTORIALMORETHANONECARD_949_F;;
TUTORIAL_TUTORIALMORETHANONECARD_REPEAT_#1_914_M;Was I not clear?;説明が足りなかったかな？
TUTORIAL_TUTORIALMORETHANONECARD_REPEAT_#1_914_F;;
TUTORIAL_TUTORIALMORETHANONECARD_REPEAT_#1_209_M;You can play a Squirrel and also sacrifice it in the same turn.;同じターン中に、リスを場に出して捧げることができる。
TUTORIAL_TUTORIALMORETHANONECARD_REPEAT_#1_209_F;;
TUTORIAL_TUTORIALMORETHANONECARD_REPEAT_#2_734_M;You can play as many cards per turn as your sacrifices will allow...;供物が足りる限り、1ターンに何枚でもカードを出せる。
TUTORIAL_TUTORIALMORETHANONECARD_REPEAT_#2_734_F;;
TUTORIAL_TUTORIALMORETHANONECARD_REPEAT_#3_314_M;Just a Squirrel? Interesting choice...;リス一匹だけか？ 興味深い…
TUTORIAL_TUTORIALMORETHANONECARD_REPEAT_#3_314_F;;
_OPPONENTSKIPTURN_479_M;I'm obligated to pass.;ありがたくパスさせてもらおう。
_OPPONENTSKIPTURN_479_F;;
_OPPONENTSKIPTURN_REPEAT_#1_558_M;Pass.;パス。
_OPPONENTSKIPTURN_REPEAT_#1_558_F;;
_OPPONENTSKIPTURN_REPEAT_#2_465_M;I'll pass.;パスさせてもらおう。
_OPPONENTSKIPTURN_REPEAT_#2_465_F;;
GAMEPLAY_HINTS_HINT_PLAYDURINGDRAWPHASE_465_M;Don't get ahead of yourself. You need to draw a card first.;そう急ぐな。 先にカードを引く必要があるぞ。
GAMEPLAY_HINTS_HINT_PLAYDURINGDRAWPHASE_465_F;;
GAMEPLAY_HINTS_HINT_PLAYDURINGDRAWPHASE_REPEAT_#1_797_M;I won't allow you to play a card before you draw a new one.;新しいカードを引くまで、<br>カードを場に出すことはできない。
GAMEPLAY_HINTS_HINT_PLAYDURINGDRAWPHASE_REPEAT_#1_797_F;;
GAMEPLAY_HINTS_HINT_PLAYDURINGDRAWPHASE_REPEAT_#2_235_M;Draw a card.;カードを引け。
GAMEPLAY_HINTS_HINT_PLAYDURINGDRAWPHASE_REPEAT_#2_235_F;;
GAMEPLAY_HINTS_HINT_PLAYDURINGDRAWPHASE_REPEAT_#3_655_M;Stop. Draw a card.;待て。 カードを引くのだ。
GAMEPLAY_HINTS_HINT_PLAYDURINGDRAWPHASE_REPEAT_#3_655_F;;
GAMEPLAY_HINTS_HINT_PLAYDURINGDRAWPHASE_REPEAT_#4_903_M;Your turn to draw. You can play cards after.;今はカードを引く番だ。 出すのはその後だぞ。
GAMEPLAY_HINTS_HINT_PLAYDURINGDRAWPHASE_REPEAT_#4_903_F;;
TUTORIAL_TUTORIALCONSUMABLESREMINDER_266_M;Need I remind you? Your items may help...;忘れないよう忠言しよう。 <br>アイテムが助けになるかもしれんぞ…
TUTORIAL_TUTORIALCONSUMABLESREMINDER_266_F;;
TUTORIAL_TUTORIALCONSUMABLESREMINDER_REPEAT_#1_518_M;Have you forgotten the items I gave you? Tisk, tisk.;私が与えたアイテムを忘れていないかね？ ダメだぞ。
TUTORIAL_TUTORIALCONSUMABLESREMINDER_REPEAT_#1_518_F;;
TUTORIAL_TUTORIALCONSUMABLESREMINDER_REPEAT_#2_479_M;An item could help...;アイテムが助けになるだろう…
TUTORIAL_TUTORIALCONSUMABLESREMINDER_REPEAT_#2_479_F;;
TUTORIAL_TUTORIALCONSUMABLESREMINDER_REPEAT_#3_373_M;You're in a tough spot, no doubt.;どう見ても、君は苦境に立たされているようだな。
TUTORIAL_TUTORIALCONSUMABLESREMINDER_REPEAT_#3_373_F;;
GAMEPLAY_HINTS_HINT_CONSUMABLEOUTSIDEOFBATTLE_478_M;You can't use that right now.;今それは使用できない。
GAMEPLAY_HINTS_HINT_CONSUMABLEOUTSIDEOFBATTLE_478_F;;
GAMEPLAY_HINTS_HINT_CONSUMABLEOUTSIDEOFBATTLE_REPEAT_#1_550_M;That one's only for card dueling.;それはカードデュエルの時にしか使えない。
GAMEPLAY_HINTS_HINT_CONSUMABLEOUTSIDEOFBATTLE_REPEAT_#1_550_F;;
GAMEPLAY_HINTS_HINT_CONSUMABLEOUTSIDEOFBATTLE_REPEAT_#2_884_M;I'll let you use that... but not now.;そのカードを使う頃合は… 今ではないぞ。
GAMEPLAY_HINTS_HINT_CONSUMABLEOUTSIDEOFBATTLE_REPEAT_#2_884_F;;
GAMEPLAY_HINTS_HINT_CONSUMABLEOUTSIDEOFBATTLE_REPEAT_#3_994_M;Enough. You can't use that presently.;いい加減にしろ。 それは今使えないのだ。
GAMEPLAY_HINTS_HINT_CONSUMABLEOUTSIDEOFBATTLE_REPEAT_#3_994_F;;
GAMEPLAY_HINTS_HINT_NOTENOUGHBLOODBUTSQUIRREL_880_M;You are lacking sacrifices for that [c:bR][v:0][c:]. But you do have a [c:bR]Squirrel[c:].;その[c:bR][v:0][c:]を出すための捧げものが足りない。 だが君には[c:bR]リス[c:]がいる。
GAMEPLAY_HINTS_HINT_NOTENOUGHBLOODBUTSQUIRREL_880_F;;
GAMEPLAY_HINTS_HINT_NOTENOUGHBLOODBUTSQUIRREL_REPEAT_#1_259_M;You can't play that presently. But your [c:bR]Squirrel[c:] is free.;今それを出すことはできない。 しかし[c:bR]リス[c:]は無償で出せるぞ。
GAMEPLAY_HINTS_HINT_NOTENOUGHBLOODBUTSQUIRREL_REPEAT_#1_259_F;;
GAMEPLAY_HINTS_HINT_NOTENOUGHBLOODBUTSQUIRREL_REPEAT_#2_827_M;No... But you can play your [c:bR]Squirrel[c:].;ダメだ… だが今は[c:bR]リス[c:]を場に出せる。
GAMEPLAY_HINTS_HINT_NOTENOUGHBLOODBUTSQUIRREL_REPEAT_#2_827_F;;
SPECIAL_NODES_EYEBALLCHOICEINTRO_267_M;Believe it or not, you're not the first to lose an eye here...;信じようが信じまいが、<br>ここで目を失ったのは君が最初ではない…
SPECIAL_NODES_EYEBALLCHOICEINTRO_267_F;;
SPECIAL_NODES_EYEBALLCHOICEINTRO_204_M;This isn't much fun if you're half blind.;片目を失ってしまえば、面白さも半減するだろう。
SPECIAL_NODES_EYEBALLCHOICEINTRO_204_F;;
SPECIAL_NODES_EYEBALLCHOICEINTRO_660_M;Perhaps, you'd like to replace it?;新しい目でもどうだ？
SPECIAL_NODES_EYEBALLCHOICEINTRO_660_F;;
SPECIAL_NODES_EYEBALLCHOICEINTRO_REPEAT_#1_026_M;Would you care for a new eye?;新しい目をもらいたいか？
SPECIAL_NODES_EYEBALLCHOICEINTRO_REPEAT_#1_026_F;;
SPECIAL_NODES_EYEBALLCHOICEINTRO_REPEAT_#2_576_M;I imagine you'd like to replace that eye you lost.;君が失った目の代わりを欲しがってるのは、<br>容易に想像がつく。
SPECIAL_NODES_EYEBALLCHOICEINTRO_REPEAT_#2_576_F;;
SPECIAL_NODES_EYEBALLCHOICEOUTRO_252_M;Better?;どうだ？
SPECIAL_NODES_EYEBALLCHOICEOUTRO_252_F;;
SPECIAL_NODES_EYEBALLCHOICEOUTRO_341_M;Regardless, the choice is final.;何があっても、この選択の撤回は認めぬ。
SPECIAL_NODES_EYEBALLCHOICEOUTRO_341_F;;
SPECIAL_NODES_EYEBALLCHOICEOUTRO_REPEAT_#1_922_M;Happy with that one?;気に召したか？
SPECIAL_NODES_EYEBALLCHOICEOUTRO_REPEAT_#1_922_F;;
SPECIAL_NODES_EYEBALLCHOICEOUTRO_REPEAT_#2_487_M;The choice is final.;選択の撤回は無しだ。
SPECIAL_NODES_EYEBALLCHOICEOUTRO_REPEAT_#2_487_F;;
TUTORIAL_TUTORIALOVERKILLDAMAGE_491_M;Did I neglect to mention overkill damage?;オーバーキルについて説明し忘れたか。
TUTORIAL_TUTORIALOVERKILLDAMAGE_491_F;;
TUTORIAL_TUTORIALOVERKILLDAMAGE_700_M;Excess damage is not wasted.;過剰なダメージは無駄にならない。
TUTORIAL_TUTORIALOVERKILLDAMAGE_700_F;;
TUTORIAL_TUTORIALOVERKILLDAMAGE_360_M;It carries over to the card [c:bR]behind[c:] the mangled corpse of the victim.;そのダメージは、殺されたものの[c:bR]後ろ[c:]にあるカードに<br>与えられる。
TUTORIAL_TUTORIALOVERKILLDAMAGE_360_F;;
TUTORIAL_TUTORIALOVERKILLDAMAGE_306_M;Lucky for you.;君にとっていいことだ。
TUTORIAL_TUTORIALOVERKILLDAMAGE_306_F;;
TUTORIAL_TUTORIALWOODCARVERINTRO_587_M;An ancient woman emerged from behind an oak tree.;老齢の女性がオークの木の陰から姿を現した。
TUTORIAL_TUTORIALWOODCARVERINTRO_587_F;;
TUTORIAL_TUTORIALWOODCARVERINTRO_136_M;She carefully laid out intricate wood carvings, then gestured at them brusquely.;彼女は複雑な木彫り細工を慎重に並べ置き、<br>そっけない身振りでそれらを呼び指した。
TUTORIAL_TUTORIALWOODCARVERINTRO_136_F;;
TUTORIAL_TUTORIALWOODCARVERINTRO_REPEAT_#1_741_M;The old [c:bR]woodcarver[c:] again appeared before you.;年老いた[c:bR]木彫り師[c:]がまた君の前に現れた。
TUTORIAL_TUTORIALWOODCARVERINTRO_REPEAT_#1_741_F;;
TUTORIAL_TUTORIALWOODCARVERINTRO_REPEAT_#2_042_M;It was another encounter with the [c:bR]woodcarver[c:].;また[c:bR]木彫り師[c:]との出会いがあった。
TUTORIAL_TUTORIALWOODCARVERINTRO_REPEAT_#2_042_F;;
TUTORIAL_TUTORIALWOODCARVERINTRO_REPEAT_#2_247_M;Taking a head and a body of a totem may bring good fortune.;トーテムの頭と胴を持っていると幸運が得られるらしい。
TUTORIAL_TUTORIALWOODCARVERINTRO_REPEAT_#2_247_F;;
TUTORIAL_TUTORIALWOODCARVERINTRO_REPEAT_#3_797_M;The [c:bR]woodcarver[c:] again offered her carvings.;[c:bR]木彫り師[c:]がまた自作の木彫り細工を差し出した。
TUTORIAL_TUTORIALWOODCARVERINTRO_REPEAT_#3_797_F;;
TUTORIAL_TUTORIALWOODCARVERINCOMPLETE_493_M;You accepted the [c:bR]woodcarver's[c:] offering.;君は[c:bR]木彫り師[c:]の品物を受け取った。
TUTORIAL_TUTORIALWOODCARVERINCOMPLETE_493_F;;
TUTORIAL_TUTORIALWOODCARVERINCOMPLETE_267_M;It is useless without its second half...;もう片方の木彫り細工がなければ、<br>何の役にも立たない代物だ…
TUTORIAL_TUTORIALWOODCARVERINCOMPLETE_267_F;;
TUTORIAL_TUTORIALWOODCARVERINCOMPLETE_436_M;But you intuited that this would not be the last encounter with [c:bR]her[c:].;しかし、[c:bR]彼女[c:]との出会いはこれが最後ではないと君は予感している。
TUTORIAL_TUTORIALWOODCARVERINCOMPLETE_436_F;;
TUTORIAL_TUTORIALWOODCARVERINCOMPLETE_REPEAT_#1_993_M;Without a top and bottom the totem is incomplete.;頭と胴体、両方そろわなければトーテムは不完全だ。
TUTORIAL_TUTORIALWOODCARVERINCOMPLETE_REPEAT_#1_993_F;;
TUTORIAL_TUTORIALWOODCARVERINCOMPLETE_REPEAT_#2_532_M;Lacking a second matching piece, you bid the old [c:bR]woodcarver[c:] adieu.;二つ目のピースは無いものの、君は[c:bR]木彫り師[c:]に別れを告げた。
TUTORIAL_TUTORIALWOODCARVERINCOMPLETE_REPEAT_#2_532_F;;
TUTORIAL_TUTORIALWOODCARVERINCOMPLETE_REPEAT_#3_959_M;You left with a piece, but without a complete totem.;君は不完全なトーテムの欠片を手に去った。
TUTORIAL_TUTORIALWOODCARVERINCOMPLETE_REPEAT_#3_959_F;;
TUTORIAL_TUTORIALWOODCARVERCOMPLETE_127_M;The old woman bared her teeth in satisfaction. Your first [c:bR]totem[c:] was complete.;老婆は歯を露わにして喜んでいた。 一つ目の[c:bR]トーテム[c:]が完成したのだ。
TUTORIAL_TUTORIALWOODCARVERCOMPLETE_127_F;;
TUTORIAL_TUTORIALWOODCARVERCOMPLETE_746_M;The [c:bR][v:0][c:] sigil will now be marked upon all your [c:bR][v:1][c:] creatures.;今後、「[c:bR][v:0][c:]」の印が君の出したすべての「[c:bR][v:1][c:]」につけられるようになる。
TUTORIAL_TUTORIALWOODCARVERCOMPLETE_746_F;;
TUTORIAL_TUTORIALBUYPELTSINTRO_712_M;You were stopped along the way by a [c:bR]Trapper[c:] looking to liquidate his pelts.;自分の得た皮を売ろうとする[c:bR]罠猟師[c:]により、<br>君は歩みを止めた。
TUTORIAL_TUTORIALBUYPELTSINTRO_712_F;;
TUTORIAL_TUTORIALBUYPELTSINTRO_481_M;There was something uncanny about his appearance, but you were quickly distracted by his wares.;彼の格好には何か異様な雰囲気はあるが、<br>すぐに君の注目は彼の品物に行ってしまった。
TUTORIAL_TUTORIALBUYPELTSINTRO_481_F;;
TUTORIAL_TUTORIALBUYPELTSOUTRO_844_M;The man assured you of the value of the pelts.;皮にかなりの値打ちがあると、男は自信をもって言った。
TUTORIAL_TUTORIALBUYPELTSOUTRO_844_F;;
TUTORIAL_TUTORIALBUYPELTSOUTRO_742_M;They appear to be useless in a fight...;その皮は戦闘では役に立たなさそうに見える…
TUTORIAL_TUTORIALBUYPELTSOUTRO_742_F;;
TUTORIAL_TUTORIALBUYPELTSOUTRO_937_M;But he mentioned that [c:bR]The Trader[c:] further down the path would reward you for them.;しかし、この道を進んだ先にいる[c:bR]商人[c:]なら<br>買い取ってくれるはずだ、と彼は告げてくれた。
TUTORIAL_TUTORIALBUYPELTSOUTRO_937_F;;
TUTORIAL_TUTORIALTRADEPELTSINTRO_553_M;You encountered a small outpost in the woods tended by a mysterious woman.;君は森の中で、神秘的な女性が管理している<br>小さな前哨地を見つけた。
TUTORIAL_TUTORIALTRADEPELTSINTRO_553_F;;
TUTORIAL_TUTORIALTRADEPELTSINTRO_123_M;It was [c:bR]The Trader[c:] that the old [c:bR]Trapper[c:] had mentioned!;その女性こそ、[c:bR]罠猟師[c:]が話していた[c:bR]商人[c:]だ！
TUTORIAL_TUTORIALTRADEPELTSINTRO_123_F;;
